field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"South-West of Cuatro Ciénegas, Coahuila, Mexico",768m,7-Feb-06,NA
NA,NA,NA,"from Parras to Tanque Menchaca, Coahuila, Mexico",1461m,14-Mar-10,NA
NA,NA,NA,"Brewster County, Texas, USA",1012m,22-Mar-10,NA
NA,NA,NA,"Maderas del Carmen, Coahuila, Mexico",1262m,2-Apr-15,NA
NA,NA,NA,"West of Cuesta de Malena, Coahuila, Mexico",1332m,2-Apr-15,NA
NA,NA,NA,"South-West of El Hundido, Cuatro Cienégas, Coahuila, Mexico",821m,9-Mar-19,NA
NA,NA,NA,"South-West of Parras, behind hill with church of Santo Madero, Coahuila, Mexico",1601m,13-Mar-10,NA
NA,NA,NA,"South-West of Parras, behind hill with church of Santo Madero, Coahuila, Mexico",1614m,28-Jan-06,NA
NA,NA,NA,"South-West of Parras, behind hill with church of Santo Madero, Coahuila, Mexico",1621m,29-Jan-06,NA
NA,NA,NA,"South-East of Viesca, Coahuila, Mexico",1197m,31-Jan-06,NA
NA,NA,NA,"Dagger Flat, Texas, USA",NA,NA,NA
NA,NA,NA,"Parras de la Fuente, Coahuila, México",NA,NA,NA
NA,NA,NA,"Terlingua Ghost Town, Texas, USA",NA,NA,NA
NA,NA,NA,"Hot Springs, Texas, USA",NA,NA,NA
NA,NA,NA,"River Road East, Texas, USA",NA,NA,NA
NA,NA,NA,"Mariscal Mine, Texas, USA",NA,NA,NA
NA,NA,NA,"Tornillo Creek, Texas, USA",NA,NA,NA
NA,NA,NA,"South of Alpine, Texas, USA",NA,NA,NA
NA,NA,NA,"Lajitas, Texas, USA",785m,11/05/2016,same locality as PKS1780
NA,NA,NA,"Terlingua, Texas, USA",804m,12/05/2016,same locality as CS846
NA,NA,NA,"Terlingua, Texas, USA",803m,12/05/2016,same locality as CS847
NA,NA,NA,"Terlingua, Texas, USA",846m,12/05/2016,same locality as CS848
NA,NA,NA,"Big Bend National Park, Texas, USA",611m,14/05/2016,same locality as PKS2255
NA,NA,NA,"Big Bend National Park, Texas, USA",614m,14/05/2016,same locality as CS853
NA,NA,NA,"Big Bend National Park, Texas, USA",590m,15/05/2016,same locality as CH US27
NA,NA,NA,"Big Bend National Park, Texas, USA",1047m,16/05/2016,same locality as RP92
NA,NA,NA,"Big Bend National Park, Texas, USA",786m,16/05/2016,same locality as CS857
NA,NA,NA,"Marathon, Texas, USA",1256m,19/05/2016,same locality as CH US29
NA,NA,NA,"South of Alpine, Texas, USA",NA,NA,NA
NA,NA,NA,"Parras, Coahuila, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA
NA,NA,NA,"Palmas, San Luis Potosí, Mexico",1994/10/23,1994/10/23,NA
