field_number,collector,species,locality,altitude,date,notes
AD 55,Aldo Delladdio,astrophytum myriostigma,"from Dr. Arroyo to Miquihuana, Tamaulipas, Mexico",1475m,16-Feb-05,NA
AL 225,Dr. Andreas Laras,astrophytum myriostigma v. columnare,"Entronque El Huizache, San Luis Potosí, México",NA,NA,NA
AL 250,Dr. Andreas Laras,astrophytum myriostigma,"San Antonio, Tamaulipas, México",NA,NA,NA
AL 410,Dr. Andreas Laras,astrophytum myriostigma,"Palomas, San Luis Potosí, México",NA,NA,NA
AL 411,Dr. Andreas Laras,astrophytum myriostigma,"Las Tablas, San Luis Potosí, México",NA,NA,NA
BZ 22,"Luciano Battaia, Carlo Zanovello",astrophytum myriostigma,"Buenavista, San Luis Potosí, Mexico",NA,NA,NA
CH 231,Jaromír Chvastek,astrophytum myriostigma v. strongylogonum,"Charco Blanco, San Luis Potosí, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA
CH 305,Jaromír Chvastek,astrophytum myriostigma,"Rayon to Ciudad Maiz, Pto Sta Gertrudis, San Luis Potosí, Mexico",1225m,1994/10/19,NA
CH 311,Jaromír Chvastek,astrophytum myriostigma,"Las Palomas, San Luis Potosí, Mexico",1994/10/19,1994/10/19,NA
CH 459,Jaromír Chvastek,astrophytum myriostigma,"Huizache, San Luis Potosí, Mexico",1995/4/27,1995/4/27,NA
CS 1025.6,Chris Sherrah,astrophytum myriostigma,"Presa de Guadalupe, San Luis Potosi, Mexico",1235m,11/03/2020,ML567 location
CS 1032.6,Chris Sherrah,astrophytum myriostigma,"Las Tablas south, San Luis Potosi, Mexico",1040m,14/03/2020,PK2314 location
CS 1033.9,Chris Sherrah,astrophytum myriostigma,"Palomas, San Luis Potosi, Mexico",1129m,14/03/2020,DL986 location
CS 1047.5,Chris Sherrah,astrophytum myriostigma,"Pozo de Acuña, San Luis Potosí, Mexico",1396m,02/10/2022,LRM420 location
CS 1048.7,Chris Sherrah,astrophytum myriostigma,"Presse de Guadalupe, San Luis Potosí, Mexico",1162m,03/10/2022,LRM277 location
CS 1050.5,Chris Sherrah,astrophytum myriostigma,"Charco Azul, Tamaulipas, Mexico",1082m,03/10/2022,DL971 location
CS 1051.10,Chris Sherrah,astrophytum myriostigma,"San Antonio, Tamaulipas, Mexico",727m,04/10/2022,PK3108 location
CS 110.7,Chris Sherrah,astrophytum myriostigma,"East of Huizache, San Luis Potosi, Mexico",1200m,16/06/2007,NA
CS 1103.8,Chris Sherrah,astrophytum myriostigma,"Buenavista, San Luis Potosi, Mexico",1145m,06/05/2024,LRM424 location
CS 1113.2,Chris Sherrah,astrophytum myriostigma v. nudum,"Entronque Huizache, San Luis Potosi, Mexico",1464m,10/05/2024,GLASS&GLASS226 location
CSD 49,"Jaromír Chvastek, Roman Staník, Igor Dráb",astrophytum myriostigma,"Branch to Matias Garcia behind Jaumave, Tamaulipas, Mexico",25/04/1997,25/04/1997,= IDD54; also plants with 6 ribs + G89
CSD 75,"Jaromír Chvastek, Roman Staník, Igor Dráb",astrophytum myriostigma,"Towards to Buenavista Rancho, San Luis Potosí, Mexico",28/04/1997,28/04/1997,= IDD80
CSD 85,"Jaromír Chvastek, Roman Staník, Igor Dráb",astrophytum myriostigma v. strongylogonum,"Charco Blanco, San Luis Potosí, Mexico",29/04/1997,29/04/1997,= IDD90; some plants flat like asterias
DU 13,Ulrich Dosedal,astrophytum myriostigma,"Nunez, San Luis Potosi, Mexico",NA,NA,NA
DU 14,Ulrich Dosedal,astrophytum myriostigma,"Jaumave, Tamaulipas, Mexico",NA,NA,NA
DU 7a,Ulrich Dosedal,astrophytum myriostigma,"South of Las Tablas on the hills East of the road, San Luis Potosi, Mexico",NA,NA,NA
GL 652,Gary Loos,astrophytum myriostigma v. strongylogonum,"Las Tablas, San Luis Potosi, Mexico",NA,NA,NA
GL&DONEY 566,"Charles (Charlie) Edward Glass, B. Doney",astrophytum myriostigma v. quadricostatum,Mexico,NA,NA,NA
GL&DONEY 584,"Charles (Charlie) Edward Glass, B. Doney",astrophytum myriostigma v. potosinum,"Mexico, Mexico",NA,NA,NA
GL&F 2169,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",astrophytum myriostigma,"along river South of Ciudad Lerdo, Durango, Mexico",NA,NA,NA
