field_number,collector,species,locality,altitude,date,notes
AD 410,Aldo Delladdio,epithelantha pachyrhiza ssp. parvula,"South-West of Hipolito, Coahuila, Mexico",1163m,18-Apr-14,NA
AD 924,Aldo Delladdio,epithelantha pachyrhiza,"Santa Catarina, Nuevo Leon, Mexico",961m,2-Nov-22,NA
AD 940,Aldo Delladdio,epithelantha pachyrhiza ssp. parvula,"South-West of Hipolito, Coahuila, Mexico",1156m,6-Nov-22,NA
CS 1120.16,Chris Sherrah,epithelantha pachyrhiza,"Higueras, Coahuila, Mexico",1262m,14/05/2024,LRM055 location
CS 1170.1,Chris Sherrah,epithelantha pachyrhiza,"Icamole West, Nuevo Leon, Mexico",1262m,14/06/2024,NA
CS 1171.7,Chris Sherrah,epithelantha pachyrhiza v. pulchra,"Mina S.E., Nuevo Leon, Mexico",586m,14/06/2024,AD931 location
IDD 1163,Igor D. Dráb,epithelantha pachyrhiza,"Km 40.5, before San Antonio de Acatita, low ranges to the right, San Antonio de Acatita, Coahuila, Mexico",16/11/2008,16/11/2008,= IDD28/08; clusters of hundreds of heads
IDD 28/08,Igor D. Dráb,epithelantha pachyrhiza,"Km 40.5, before San Antonio de Acatita, low ranges to the right, San Antonio de Acatita, Coahuila, Mexico",16/11/2008,16/11/2008,= IDD1163; clusters of hundreds of heads
KPP 1929,Karel Pavel Pavlíček,epithelantha pachyrhiza,"Mina, Nuevo Leon, Mexico",2015?,2015?,NA
LRM 54,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",epithelantha pachyrhiza,"Higueras, Coahuila, Mexico",1999,1999,NA
LRM 55,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",epithelantha pachyrhiza,"Higueras, Coahuila, Mexico",1999,1999,NA
MK 127.407,Miloš Kaplan,epithelantha pachyrhiza,"Higueras, Nuevo Leon, Mexico",NA,NA,NA
RS 1274,Roman Staník,epithelantha pachyrhiza,"canyon opposite Ojo Caliente, Nuevo Leon, Mexico",NA,NA,NA
Z 41,Carlo Zanovello,epithelantha pachyrhiza,"Ojo Caliente, Coahuila, Mexico",NA,NA,NA
