field_number,collector,species,locality,altitude,date,notes
BB 102.01,Brian Francis Bates,melocactus salvadorensis,"Jequié Municipality, Bahia, Brazil",241m,24/05/1999,NA
BB 105.03,Brian Francis Bates,melocactus salvadorensis,"Porto Alegre, Bahia, Brazil",280m,24/05/1999,NA
BB 96.02,Brian Francis Bates,melocactus salvadorensis,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA
BB 96.02,Brian Francis Bates,melocactus salvadorensis,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA
CS 365.1_125,Chris Sherrah,melocactus salvadorensis,"Jequie, Bahia, Brasil",21/11/2009,21/11/2009,NA
CS 366.13,Chris Sherrah,melocactus salvadorensis,"Espinho, Bahia, Brasil",260m,22/11/2009,NA
CS 367.5,Chris Sherrah,melocactus salvadorensis,"Espinho 2, Bahia, Brasil",290m,22/11/2009,BB105 location
CS 368.3,Chris Sherrah,melocactus salvadorensis,"Espinho 3, Bahia, Brasil",343m,22/11/2009,NA
CS 371.4_135,Chris Sherrah,melocactus salvadorensis,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,BB096 location
GC 1022.02,Graham Charles,melocactus salvadorensis,Sussuarana,NA,NA,NA
GC 1048.05,Graham Charles,melocactus salvadorensis,West of Jequié,NA,NA,NA
GC 483.05,Graham Charles,melocactus salvadorensis,West of Jequié,NA,NA,NA
GC 486.05,Graham Charles,melocactus salvadorensis,Porto Alegre,NA,NA,NA
GC 686.02,Graham Charles,melocactus salvadorensis,Sussuarana,NA,NA,NA
GD 100-1,Gérard Delanoy,melocactus salvadorensis,"East of Sussuarana, Bahia, Brazil",NA,NA,NA
GD 101-1,Gérard Delanoy,melocactus salvadorensis,"East of Sussuarana, 1 km after GD100, Bahia, Brazil",NA,NA,NA
GD 105-2,Gérard Delanoy,melocactus salvadorensis,"South-West of Jequié, Bahia, Brazil",NA,NA,NA
GD 106-2,Gérard Delanoy,melocactus salvadorensis,"John's Quarry, South-West of Jequié, Rio",NA,NA,NA
GJA 7.09,Gérard Ardisson,melocactus salvadorensis,"Itiîra, Bahia, Brazil",May-07,May-07,NA
HU 301,"Leopoldo Horst,, later, Kurt-Ingo Horst",melocactus salvadorensis,"Bananeiras, Bahia, Brazil",1971,1971,NA
HU 535,"Leopoldo Horst,, later, Kurt-Ingo Horst",melocactus salvadorensis,"2 km North-West of Jacaraci, Bahia, Brazil",NA,NA,NA
HU 576,"Leopoldo Horst,, later, Kurt-Ingo Horst",melocactus salvadorensis,"Licinio de Almeida, Bahia, Brazil",NA,NA,NA
NPT 1523,Nigel Paul Taylor,melocactus salvadorensis,"Brumado w 36km, BR 030 towards Caetite, Bahia, Brazil",660m,2/2/1991,NA
NPT 1542,Nigel Paul Taylor,melocactus salvadorensis,"BR 030 25km along towards Sussuarana, Bahia, Brazil",400m,3/2/1991,NA
NPT 1545,Nigel Paul Taylor,melocactus salvadorensis,"BR 030 54km along towards Sussuarana, Bahia, Brazil",400m,3/2/1991,NA
NPT 1549,Nigel Paul Taylor,melocactus salvadorensis,"Contendas do Sincorá 34km towards Maracás, Bahia, Brazil",380m,4/2/1991,NA
NPT 1553,Nigel Paul Taylor,melocactus salvadorensis,"Porto Alegre e 6-7km, Bahia, Brazil",300m,4/2/1991,NA
NPT 1580,Nigel Paul Taylor,melocactus salvadorensis,"Iañu w 5.5km, Bahia, Brazil",300m,7/2/1991,NA
NPT 1609,Nigel Paul Taylor,melocactus salvadorensis,"Baixa Grande e 42.5km, BA 052, Bahia, Brazil",310m,9/2/1991,NA
NPT 1611,Nigel Paul Taylor,melocactus salvadorensis,"Ipirá e 24km, BA 052, Bahia, Brazil",300m,9/2/1991,NA
PM 126,Ken Preston-Mafham,melocactus salvadorensis,"6km South of Milagres, Brazil",NA,NA,NA
PM 129,Ken Preston-Mafham,melocactus salvadorensis,"Jequie, Brazil",NA,NA,NA
