field_number,collector,species,locality,altitude,date,notes
A&M 1392,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of Januaria, Januaria, Minas Gerais, Brazil",25/06/2016,25/06/2016,NA
A&M 1398,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Between Manga and Iuiú, Bahia, Brazil",29/06/2016,29/06/2016,NA
A&M 1410,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Palmas de Monte Alto, Bahia, Brazil",01/07/2016,01/07/2016,NA
A&M 1415,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Palmas de Monte Alto, Bahia, Brazil",02/07/2016,02/07/2016,NA
A&M 1455,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of the Santa Izabel cemetery, Mucugê, Bahia, Brazil",18/07/2016,18/07/2016,NA
A&M 1457,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of the Santa Izabel cemetery, Mucugê, Bahia, Brazil",18/07/2016,18/07/2016,NA
A&M 348,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Serra Mineira, Bocaiúva, Minas Gerais, Brazil",05-May-09,05-May-09,NA
AH 323,Andreas Hofacker,pilosocereus pachycladus,"East of Pedra Azul, Minas Gerais, Brazil",1992,1992,= P. glaucescens
AH 339,Andreas Hofacker,pilosocereus pachycladus,"West of Morro do Chapéu, Bahia, Brazil",1992,1992,NA
BB 109.01,Brian Francis Bates,pilosocereus pachycladus,"Araçuaí, Minas Gerais, Brazil",300m,27/05/1999,NA
BB 128.03,Brian Francis Bates,pilosocereus pachycladus,"Sopa, Minas Gerais, Brazil",1315m,05/06/1999,NA
BB 129.02,Brian Francis Bates,pilosocereus pachycladus,"Porto Agraria, Minas Gerais, Brazil",07/06/1999,07/06/1999,NA
BB 134.02,Brian Francis Bates,pilosocereus pachycladus,"West of Ipirá, Bahia, Brazil",15/06/1999,15/06/1999,NA
BB 77.03,Brian Francis Bates,pilosocereus pachycladus,"Morro do Chapéu, Bahia, Brazil",970m,15/05/1999,NA
BB 78.04,Brian Francis Bates,pilosocereus pachycladus,"Morro do Chapéu, Bahia, Brazil",15/05/1999,15/05/1999,NA
BB 85.06,Brian Francis Bates,pilosocereus pachycladus,"West of Morro do Chapéu towards America Dourada, Bahia, Brazil",790m,16/05/1999,NA
BB 86.03,Brian Francis Bates,pilosocereus pachycladus,"near Jacarezinho, Bahia, Brazil",845m,16/05/1999,NA
BB 89.01,Brian Francis Bates,pilosocereus pachycladus,"Seabra, Bahia, Brazil",1300m,19/05/1999,NA
BB 90.02,Brian Francis Bates,pilosocereus pachycladus,"West of Seabra, Bahia, Brazil",19/05/1999,19/05/1999,NA
BB 91.02,Brian Francis Bates,pilosocereus pachycladus,"West of Seabra, Bahia, Brazil",900m,19/05/1999,NA
BB 92.01,Brian Francis Bates,pilosocereus pachycladus,"East of Seabra, Bahia, Brazil",780m,19/05/1999,NA
BB 94.02,Brian Francis Bates,pilosocereus pachycladus,"Mucugê, Bahia, Brazil",1075m,20/05/1999,NA
BB 96.05,Brian Francis Bates,pilosocereus pachycladus,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA
BB 96.05,Brian Francis Bates,pilosocereus pachycladus,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA
BB 99.07,Brian Francis Bates,pilosocereus pachycladus,"Brumado, Bahia, Brazil",650m,23/05/1999,NA
CS 153.3,Chris Sherrah,pilosocereus pachycladus,"Sobradinho 1, Bahia, Brasil",389m,20/10/2007,NA
CS 155.1_71,Chris Sherrah,pilosocereus pachycladus,"South of Massaroca Hwy 407, Bahia, Brasil, Bahia, Brasil",592m,21/10/2007,NA
CS 177.3,Chris Sherrah,pilosocereus pachycladus,"Barrieras, Bahia, Brasil",10/11/2007,10/11/2007,NA
CS 178.2,Chris Sherrah,pilosocereus pachycladus,"America Dourada, Bahia, Brasil",879m,10/11/2007,NA
CS 180.2,Chris Sherrah,pilosocereus pachycladus,"America Dourada, Bahia, Brasil",882m,01/12/2009,near BB85 location
CS 357.1,Chris Sherrah,pilosocereus pachycladus,"Itinga, Minas Gerais, Brasil",300m,18/11/2009,BB109 location
CS 358.1_115,Chris Sherrah,pilosocereus pachycladus,"Itinga 2, Minas Gerais, Brasil",300m,18/11/2009,BB110 location
CS 363.1_122,Chris Sherrah,pilosocereus pachycladus,"Pedra Azul 4, Minas Gerais, Brasil",670m,19/11/2009,NA
CS 369.2_131,Chris Sherrah,pilosocereus pachycladus,"Serra Escura, Bahia, Brasil",620m,23/11/2009,NA
CS 370.3,Chris Sherrah,pilosocereus pachycladus,"Brumado, Bahia, Brasil",650m,24/11/2009,BB99 location
CS 371.3,Chris Sherrah,pilosocereus pachycladus,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,BB096 location
CS 374.3,Chris Sherrah,pilosocereus pachycladus,"Porto Novo, Bahia, Brasil",498m,27/11/2009,NA
CS 377.2,Chris Sherrah,pilosocereus pachycladus,"Seabra, Bahia, Brasil",1129m,30/11/2009,near BB89 location
CS 380.3,Chris Sherrah,pilosocereus pachycladus,"Capim Grosso, Bahia, Brasil",392m,03/12/2009,NA
CS 383.9,Chris Sherrah,pilosocereus pachycladus,"Delfino, Bahia, Brasil",624m,05/12/2009,NA
CS 385.3,Chris Sherrah,pilosocereus pachycladus,"Rio Morim Mimoso, Bahia, Brasil",1226m,05/12/2009,NA
CS 386.1_154,Chris Sherrah,pilosocereus pachycladus v. pernambucoensis,"Paulo Alfonso, Alagoas, Brasil",306m,07/12/2009,NA
FR 1223,Friedrich Ritter,pilosocereus pachycladus,"Urandi, Bahia, Brazil",seed,seed,seed
FR 1223,Friedrich Ritter,pilosocereus pachycladus,"Below Monte Azul, Minas Gerais, Brazil",seed,seed,seed
