field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"Padilla to Monteagudo about. 1/2 way, Chuquisaca, Bolivia",1270m,08/10/2009,same locality as CS314
NA,NA,NA,"about 110km West of Puerto Casado, Alto Paraguay, Paraguay",105m,19/08/2013,same locality as CS676
NA,NA,NA,"Tikal, El Peten, Guatemala",17/12/2022,17/12/2022,NA
NA,NA,NA,"Monteagudo, Chuquisaca, Bolivia",1270m,08/10/2009,NA
NA,NA,NA,"Alijilan 2, Catamarca, Argentina",1112m,14/03/2010,NA
NA,NA,NA,"Mbashe River, Tsolorha, Eastern Cape, South Africa",Ems present,Ems present,Ems present
NA,NA,NA,"Hluhluwe Mountains, KwaZulu Natal, South Africa",19/07/1971,19/07/1971,NA
NA,NA,NA,"Salvador, Bahia, Brazil",May-07,May-07,NA
NA,NA,NA,"Hluhluwe Mountains, KwaZulu Natal, South Africa",19/07/1971,19/07/1971,NA
NA,NA,NA,"La Soledad, upper end Valle Nacional, Oaxaca, Mexico",29/12/1987,29/12/1987,NA
NA,NA,NA,"Loreto, Rio Grande do Sul, Brazil",NA,NA,NA
NA,NA,NA,"Campo Quijano, Private Camping, Salta, Argentina",1513m,NA,NA
NA,NA,NA,Oribi Gorge,396m,04-Feb-02,NA
NA,NA,NA,"Near Sucua, Ecuador",1975,1975,"Cuttings of a plant from the University of Heidelberg, collected as Werner Rauh37996"
NA,NA,NA,"Dique la Cienaga, North of Salta, Argentina",1250m,NA,NA
NA,NA,NA,"Mount Ibity, Madagascar",August 2003,August 2003,NA
NA,NA,NA,"Zamora to Loja km 8, Zamora-Chinchipe, Ecuador",1200m,NA,NA
NA,NA,NA,"Yanzatza s 5km, Zamora-Chinchipe, Ecuador",950m,NA,NA
NA,NA,NA,"La Soledad, upper end Valle Nacional, Oaxaca, Mexico",29/12/1987,29/12/1987,NA
NA,NA,NA,"La Soledad, upper end Valle Nacional, Oaxaca, Mexico",29/12/1987,29/12/1987,NA
NA,NA,NA,"Pampa Grande, Santa Cruz, Bolivia",1378m,10/11/2018,NA
NA,NA,NA,"Cinco Duraznos, Salta, Argentina",1244m,2009/01/22,NA
NA,NA,NA,"La Union, Puebla, Mexico",NA,NA,NA
NA,NA,NA,"Jalapa, Veracruz, Mexico",NA,NA,NA
NA,NA,NA,"2 km North of Bayahibe, Bayahibe, Dominican Republic",04/2008,04/2008,Epiphyte on trees; flowers and fruits visible
NA,NA,NA,"La Soledad, upper end Valle Nacional, Oaxaca, Mexico",29/12/1987,29/12/1987,NA
NA,NA,NA,"Cinco Duraznos, North of El Jardin, Salta, Argentina",1244m,22/01/2009,NA
NA,NA,NA,"Near Cobos, General Guemes to Salta, Salta, Argentina",937m,26/01/2022,NA
