field_number,collector,species,locality,altitude,date,notes
AD 298,Aldo Delladdio,thelocactus conothelos ssp. aurantiacus,"road to Marmolejo, Aramberri, Nuevo Leon, Mexico",1054m,15-Aug-12,NA
AD 333,Aldo Delladdio,thelocactus conothelos ssp. argenteus,"San Juan de Aviles, Nuevo Leon, Mexico",1612m,19-Apr-13,NA
AD 335,Aldo Delladdio,thelocactus conothelos,"South of Tula, Tamaulipas, Mexico",1332m,21-Apr-13,NA
AD 417,Aldo Delladdio,thelocactus conothelos ssp. argenteus,"North of La Trinidad, Nuevo Leon, Mexico",1612m,27-Jan-18,NA
AD 507,Aldo Delladdio,thelocactus conothelos ssp. aurantiacus,"El Molino, Aramberri, Nuevo Leon, Mexico",1054m,10-Apr-17,NA
AD 684,Aldo Delladdio,thelocactus conothelos,"East of La Naranjita, San Luis Potosí, Mexico",1301m,11-Mar-19,NA
AD 873,Aldo Delladdio,thelocactus conothelos,"Laureles, Matehuala, San Luis Potosí, Mexico",2121m,9-Mar-22,NA
AL 287,Dr. Andreas Laras,thelocactus conothelos ssp. aurantiacus,"North of Marmolejo, Nuevo León, México",NA,NA,NA
CH 186,Jaromír Chvastek,thelocactus conothelos,"La Paz, San Antonio de las Castello, San Luis Potosí, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA
CH 194,Jaromír Chvastek,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo León, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA
CH 198,Jaromír Chvastek,thelocactus conothelos fma. saussieri,"Doctor Arroyo, Nuevo León, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA
CH 237,Jaromír Chvastek,thelocactus conothelos,"Tula, Tamaulipas, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA
CH 320,Jaromír Chvastek,thelocactus conothelos,"La Gloria, Route 101, Tamaulipas, Mexico",1994/10/20,1994/10/20,NA
CH 338,Jaromír Chvastek,thelocactus conothelos v. aurantiacus fma. nova,"Marmolejo, Nuevo León, Mexico",1050m,1994/10/22,NA
CH 472,Jaromír Chvastek,thelocactus conothelos,"Guerrero, San Luis Potosí, Mexico",1775m,1995/4/28,NA
CH 477,Jaromír Chvastek,thelocactus conothelos,"Soledad, San Luis Potosí, Mexico",1535m,1995/4/29,NA
CH 491,Jaromír Chvastek,thelocactus conothelos v. argenteus,"San Juan de Aviles, Nuevo León, Mexico",1550m,1995/4/29,NA
CH 493,Jaromír Chvastek,thelocactus conothelos v. argenteus,"Sandia Victoria, Nuevo León, Mexico",1635m,1995/4/29,NA
CS 1050.1,Chris Sherrah,thelocactus conothelos,"Charco Azul, Tamaulipas, Mexico",1082m,03/10/2022,DL971 location
CS 1053.9,Chris Sherrah,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",1573m,05/10/2022,DL998 location
CS 111.4,Chris Sherrah,thelocactus conothelos v. auranticus,"East of Matehuala, San Luis Potosi, Mexico",1619m,16/06/2007,NA
CS 1112.12,Chris Sherrah,thelocactus conothelos,"Entronque Huizache, San Luis Potosi, Mexico",1443m,10/05/2024,GLASS&GLASS226 location
CS 1116.5,Chris Sherrah,thelocactus conothelos v. aurantiacus,"Arramberi, Nuevo Leon, Mexico",1239m,13/05/2024,NA
CS 112.2,Chris Sherrah,thelocactus conothelos v. auranticus,"South of Matehuala, San Luis Potosi, Mexico",1610m,16/06/2007,NA
CS 73.10,Chris Sherrah,thelocactus conothelos 'sausseri',"Matehuala to Doctor Arroyo, Nuevo Leon, Mexico",1651m,24/05/2007,NA
CS 73.8,Chris Sherrah,thelocactus conothelos 'sausseri',"Matehuala to Doctor Arroyo, Nuevo Leon, Mexico",1651m,24/05/2007,NA
CS 87.2,Chris Sherrah,thelocactus conothelos,"north Matehuala, Nuevo Leon, Mexico",1817m,30/05/2007,NA
CSD 109,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Bad road behind Palmas, Guerrero, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= IDD114
CSD 115,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Behind Matehuala towards Doctor Arroyo, La Soledad, San Luis Potosí, Mexico",02/05/1997,02/05/1997,= IDD120
CSD 122,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos fma. sausieri,"Towards Doctor Arroyo, Nuevo León, Mexico",02/05/1997,02/05/1997,= IDD127
CSD 123,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Lobera de Portillo, Nuevo León, Mexico",02/05/1997,02/05/1997,= IDD128
CSD 129,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Mier y Noriega, Nuevo León, Mexico",03/05/1997,03/05/1997,= IDD135
CSD 137,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos v. aurantiacus,"Aramberi, Nuevo León, Mexico",04/05/1997,04/05/1997,= IDD144
CSD 149,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos v. aurantiacus,"Marmolejo, Aramberi, Nuevo León, Mexico",05/05/1997,05/05/1997,= IDD159
CSD 62,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Tula, Tamaulipas, Mexico",27/04/1997,27/04/1997,= IDD67
CZ 123,"Jaromír Chvastek, Jaroslav Žvak",thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexico",1987/12/16,1987/12/16,NA
DAR 115,Amante Darmanin,thelocactus conothelos,"Tula, Tamaulipas, Mexico",NA,NA,NA
DAR 15,Amante Darmanin,thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexico",NA,NA,NA
DAR 198,Amante Darmanin,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",NA,NA,NA
GL 158,Gary Loos,thelocactus conothelos v. aurantiacus,"Zaragoza, Nuevo Leon, Mexico",NA,NA,NA
GL 758,Gary Loos,thelocactus conothelos v. aurantiacus,"Zaragoza, Nuevo Leon, Mexico",NA,NA,NA
GL&F 5529,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",thelocactus conothelos v. argenteus,"Near Ascension, Cerro Hijo, Nuevo Leon, Mexico",NA,NA,NA
GL&F 758,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",thelocactus conothelos v. aurantiacus,"Zaragoza, Nuevo Leon, Mexico",NA,NA,NA
GM 147,Grzegorz Matuszewski,thelocactus conothelos,Tula,NA,NA,NA
GM 260,Grzegorz Matuszewski,thelocactus conothelos,Altamira,NA,NA,NA
GM 390,Grzegorz Matuszewski,thelocactus conothelos,La Perdida,1435m,yellow central spines,yellow central spines
GM 396,Grzegorz Matuszewski,thelocactus conothelos v. argenteus,Sandia,1900m,NA,NA
GM 399,Grzegorz Matuszewski,thelocactus conothelos v. argenteus,Sandia,1700m,NA,NA
GM 41,Grzegorz Matuszewski,thelocactus conothelos,Las Javillas M61-,NA,NA,NA
GM 46,Grzegorz Matuszewski,thelocactus conothelos v. argenteus,Sandia -Puentes,1900m,NA,NA
GM 49,Grzegorz Matuszewski,thelocactus conothelos v. aurantiacus,Marmolejos,1050m,NA,NA
GM 62,Grzegorz Matuszewski,thelocactus conothelos v. macdowellii,Arteaga,NA,NA,NA
GOMEZ 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA
GOMEZ 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA
GOMEZ-H 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA
GOMEZ-H 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA
HT 1068,P. Hallet (plants collected by Alfred Bernhard Lau),thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069"
HT 663,P. Hallet (plants collected by Alfred Bernhard Lau),thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA
HT 731,P. Hallet (plants collected by Alfred Bernhard Lau),thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma"
IDD 105/99,Igor D. Dráb,thelocactus conothelos fma.,"Turn to Miquihuana, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD645; Altamira form
IDD 107/99,Igor D. Dráb,thelocactus conothelos fma.,"At the turn off towards Villa de Bustamante, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD647; red flower!
IDD 114,Igor D. Dráb,thelocactus conothelos,"Bad road behind Palmas, Guerrero, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= CSD109
IDD 120,Igor D. Dráb,thelocactus conothelos,"Behind Matehuala towards Doctor Arroyo, La Soledad, San Luis Potosí, Mexico",02/05/1997,02/05/1997,= CSD115
IDD 127,Igor D. Dráb,thelocactus conothelos fma. sausieri,"Towards Doctor Arroyo, Nuevo León, Mexico",02/05/1997,02/05/1997,= CSD122
IDD 128,Igor D. Dráb,thelocactus conothelos,"Lobera de Portillo, Nuevo León, Mexico",02/05/1997,02/05/1997,= CSD123
IDD 135,Igor D. Dráb,thelocactus conothelos,"Mier y Noriega, Nuevo León, Mexico",03/05/1997,03/05/1997,= CSD129
IDD 144,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Aramberi, Nuevo León, Mexico",04/05/1997,04/05/1997,= CSD137
IDD 159,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Marmolejo, Aramberi, Nuevo León, Mexico",05/05/1997,05/05/1997,= CSD149
IDD 365,Igor D. Dráb,thelocactus conothelos v. argenteus,"Puentes, km 25.5 towards Sandia Victoria, Nuevo León, Mexico",24/10/2000,24/10/2000,NA
IDD 45/99,Igor D. Dráb,thelocactus conothelos ssp. conothelos,"Microwave station on left, Matehuala to Doctor Arroyo",23/04/2003,23/04/2003,"= IDD582; with Mammillaria candida, Coryphantha sp."
IDD 49A/99,Igor D. Dráb,thelocactus conothelos v. argenteus,"Past the village, to the right, km 19, Sandia La Victoria, Nuevo León, Mexico",23/04/2003,23/04/2003,= IDD587
IDD 51/99,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Above Marmolejos, Aramberi, Nuevo León, Mexico",24/04/2003,24/04/2003,= IDD589; next to and on the location of Ariocarpus confusus
IDD 582,Igor D. Dráb,thelocactus conothelos ssp. conothelos,"Microwave station on left, Matehuala to Doctor Arroyo",23/04/2003,23/04/2003,"= IDD45/99; with Mammillaria candida, Coryphantha sp."
IDD 587,Igor D. Dráb,thelocactus conothelos v. argenteus,"Past the village, to the right, km 19, Sandia La Victoria, Nuevo León, Mexico",23/04/2003,23/04/2003,= IDD049A/99
IDD 589,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Above Marmolejos, Aramberi, Nuevo León, Mexico",24/04/2003,24/04/2003,= IDD51/99; next to and on the location of Ariocarpus confusus
IDD 645,Igor D. Dráb,thelocactus conothelos fma.,"Turn to Miquihuana, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD105/99; Altamira form
IDD 647,Igor D. Dráb,thelocactus conothelos fma.,"At the turn off towards Villa de Bustamante, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD107/99; red flower!
IDD 67,Igor D. Dráb,thelocactus conothelos,"Tula, Tamaulipas, Mexico",27/04/1997,27/04/1997,= CSD62
JABO 314,Jaroslav Bohata,thelocactus conothelos v. argenteus,"South-West of Ascension, Nuevo Leon, Mexico",NA,NA,NA
KMR 31,Miroslav Kupčák,thelocactus conothelos,"South of Jaumave, Tamaulipas, Mexico",2004,2004,NA
KMR 31A,Miroslav Kupčák,thelocactus conothelos,"San Lorenzo, Jaumave, Tamaulipas, Mexico",2004,2004,NA
KMR 36,Miroslav Kupčák,thelocactus conothelos ssp. aurantiacus,"La Pena, South-West of Miquihuana, Tamaulipas, Mexico",2004,2004,NA
KMR 5,Miroslav Kupčák,thelocactus conothelos ssp. conothelos x ssp. aurantiacus,"San Antonio de Pena Nevada, East of Doctor Arroyo, Nuevo León, Mexico",2004,2004,NA
KMR 56,Miroslav Kupčák,thelocactus conothelos ssp. aurantiacus,"Marmolejos, Aramberri, Nuevo León, Mexico",2004,2004,NA
KMR 67,Miroslav Kupčák,thelocactus conothelos,"South of Siberia, South of Zaragoza, Nuevo León, Mexico",2004,2004,NA
KMR 67A,Miroslav Kupčák,thelocactus conothelos,"East of Joya de San Diego, South of Zaragoza, Nuevo León, Mexico",2004,2004,NA
KMR 68,Miroslav Kupčák,thelocactus conothelos,"Ejido Pena Nevada direction to Siberia, South-West of Zaragoza, Nuevo León, Mexico",2004,2004,NA
KPP 1698,Karel Pavel Pavlíček,thelocactus conothelos,"Carmen, Nuevo Leon, Mexico",01/01/2012,01/01/2012,NA
KPP 1722,Karel Pavel Pavlíček,thelocactus conothelos,"Dr. Arroyo, Carmen, Nuevo Leon, Mexico",01/01/2012,01/01/2012,NA
KPP 1726,Karel Pavel Pavlíček,thelocactus conothelos,"San Jose del Llano, Tamaulipas, Mexico",01/10/2012,01/10/2012,NA
KS 29,"Libor Kunte, Jaroslav Šnicer",thelocactus conothelos v. macdowellii,"Arteaga, Coahuila, Mexico",NA,NA,NA
L 1068,Alfred Bernhard Lau,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069"
L 663,Alfred Bernhard Lau,thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA
L 731,Alfred Bernhard Lau,thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma"
LAU 1068,Alfred Bernhard Lau,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069"
LAU 663,Alfred Bernhard Lau,thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA
LAU 731,Alfred Bernhard Lau,thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma"
LH 124,Ladislav Horáček,thelocactus conothelos,"Aramberri, Nuevo Leon, Mexico",NA,NA,NA
LH 28,Ladislav Horáček,thelocactus conothelos,"Tula, Tamaulipas, Mexico",NA,NA,NA
LH 343,Ladislav Horáček,thelocactus conothelos v. argenteus,"Sandia Victoria, Nuevo Leon, Mexico",NA,NA,NA
LH 840,Ladislav Horáček,thelocactus conothelos v. argenteus,"Sandia y Victoria, Nuevo León, Mexicó",March 2001,March 2001,NA
LRM 298,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos,"Monte Redondo, Tamaulipas, Mexico",2001,2001,NA
LRM 313,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo León, Mexico",2001,2001,NA
LRM 336,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos,"Puente Oregano, San Luis Potosí/Nuevo León, Mexico",2001,2001,NA
LRM 449,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos v. argenteus,"St Juan de Aviles, Nuevo León, Mexico",2002,2002,NA
LRM 81,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos v. aurantiacus,"Marmelejos, Nuevo León, Mexico",1999,1999,NA
MK 117.378,Miloš Kaplan,thelocactus conothelos v. argenteus-aurantiacus,"Sn. Antonio Pena Nevada, Nuevo Leon, Mexico",intermediate form,intermediate form,intermediate form
MK 118.383,Miloš Kaplan,thelocactus conothelos v. argenteus,"South-West Ascension, Nuevo Leon, Mexico",long ivory spines,long ivory spines,long ivory spines
MK 45.149,Miloš Kaplan,thelocactus conothelos v. aurantiacus,"North of Zaragoza, Nuevo Leon, Mexico",NA,NA,NA
MK 46.150,Miloš Kaplan,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",NA,NA,NA
MK 87.321,Miloš Kaplan,thelocactus conothelos v. macdowellii,"Arteaga, Coahuila, Mexico",NA,NA,NA
MK 88.320,Miloš Kaplan,thelocactus conothelos,"Tula, Tamaulipas, Mexico",NA,NA,NA
MMR 190,Milan Majer,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",NA,NA,NA
MMR 190.1,Milan Majer,thelocactus conothelos,"San Antonio de Peña Nevada, Nuevo León, Mexico",NA,NA,NA
MMR 191,Milan Majer,thelocactus conothelos,"South of Palmillas, Tamaulipas, Mexico",NA,NA,NA
MZ 1447,Milan Zachar,thelocactus conothelos,"San Antonio de Pena Nevada, Nuevo Leon, Mexico",NA,NA,NA
MZ 1461,Milan Zachar,thelocactus conothelos,"Cruz de Elorza, San Luis Potosi, Mexico",NA,NA,NA
MZ 176,Milan Zachar,thelocactus conothelos,"Miquihuana I, Tamaulipas, Mexico",NA,NA,NA
MZ 202,Milan Zachar,thelocactus conothelos v. macdowellii,"Higueras, Coahuila, Mexico",NA,NA,NA
MZ 263,Milan Zachar,thelocactus conothelos,"Miquihuana III, San Luis Potosi, Mexico",NA,NA,NA
MZ 3B,Milan Zachar,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",NA,NA,NA
MZ 62,Milan Zachar,thelocactus conothelos v. argenteus,"Ascencion, Nuevo Leon, Mexico",NA,NA,NA
MZ 632,Milan Zachar,thelocactus conothelos,"Lazaro Cardenas, San Luis Potosi, Mexico",NA,NA,NA
MZ 68,Milan Zachar,thelocactus conothelos,"Doctor Arroyo, Nuevo Leon, Mexico",NA,NA,NA
MZ 6B,Milan Zachar,thelocactus conothelos,"Zaragosa, Nuevo Leon, Mexico",NA,NA,NA
PAR 166,Pavlosek Rostislav,thelocactus conothelos,"San Miguel de Valdo, Tamaulipas, Mexico",NA,NA,NA
PAR 167,Pavlosek Rostislav,thelocactus conothelos v. garcia,"San Miguel de Valdo, Tamaulipas, Mexico",NA,NA,NA
PAR 38,Pavlosek Rostislav,thelocactus conothelos v. argenteus,"Sandia La Victoria, Nuevo León, Mexico",NA,NA,NA
PC 83,Petr Česal,thelocactus conothelos,"Dolores, Mexico",NA,NA,NA
PH 100.1,Paul Hoxey,thelocactus conothelos,"Between Bustamante and El Capulin, Tamaulipas, Mexico",1450m,21-Mar-98,NA
PH 37.6,Paul Hoxey,thelocactus conothelos,"Tula, Tamaulipas, Mexico",05-Nov-96,05-Nov-96,NA
PH 48.1,Paul Hoxey,thelocactus conothelos,"Between El Capulin and Bustamante, Tamaulipas, Mexico",06-Nov-96,06-Nov-96,NA
PH 565.3,Paul Hoxey,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",1560m,14-Nov-04,NA
PH 567.3,Paul Hoxey,thelocactus conothelos,"La Joya de Herrera, Tamaulipas, Mexico",2190m,15-Nov-04,NA
PH 71.13,Paul Hoxey,thelocactus conothelos ssp. argenteus,"Sandia la Victoria, Nuevo León, Mexico",1600m,15-Mar-98,NA
PH 74.6,Paul Hoxey,thelocactus conothelos ssp. aurantiacus,"La Escondida, road to Aramberri, Nuevo León, Mexico",1550-1600m,16-Mar-98,NA
PH 75.10,Paul Hoxey,thelocactus conothelos ssp. aurantiacus,"Aramberri, Nuevo León, Mexico",1200m,16-Mar-98,NA
PH 85.2,Paul Hoxey,thelocactus conothelos,"Between Dr. Arroyo and Matehuala, Nuevo León, Mexico",1900m,18-Mar-98,NA
PH 86.3,Paul Hoxey,thelocactus conothelos,"Between Dr. Arroyo and Matehuala, Nuevo León, Mexico",1600m,18-Mar-98,NA
PH 92.3,Paul Hoxey,thelocactus conothelos,"Mier y Noriega, Nuevo León, Mexico",1900m,19-Mar-98,NA
PH 97.1,Paul Hoxey,thelocactus conothelos,"Near La Peña, East of Miquihuana, Tamaulipas, Mexico",2050m,20-Mar-98,NA
PHA 29,Pavel Heřtus,thelocactus conothelos,"North-East of Tula, Tamaulipas, Mexico",NA,NA,NA
PP 1025,Pavel Pavlíček,thelocactus conothelos ssp. argenteus,"Nuevo Leon, Mexico",new locality,new locality,new locality
PP 1026,Pavel Pavlíček,thelocactus conothelos ssp. aurantiacus,"Santa Lucia, Nuevo Leon, Mexico",NA,NA,NA
PP 1179,Pavel Pavlíček,thelocactus conothelos,"El Coyote, Huizache, San Luis Potosí, Mexico",NA,NA,NA
PP 1183,Pavel Pavlíček,thelocactus conothelos ssp. argenteus,"San Dolores, Municipio Aramberri, Nuevo Leon, Mexico",2002,2002,NA
PP 1249,Pavel Pavlíček,thelocactus conothelos v. flavus,"Santa Rita del Rucio, San Luis Potosí, Mexico",NA,NA,NA
