field_number,collector,species,locality,date,notes
LX 274,Alexander Lux,Ariocarpus fissuratus  v. intermedius,"Paila, Mexicó",NA,NA
LAU 703,Alfred Bernhard Lau,Ariocarpus fissuratus,Mexicó : Chihuahua (Coyame 1700m),28/04/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
L 703,Alfred Bernhard Lau,Ariocarpus fissuratus,Mexicó : Chihuahua (Coyame 1700m),28/04/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
AL 55,Andreas Laras,Ariocarpus fissuratus,USA : Texas (Terlingua Ghost Town),NA,NA
AL 61,Andreas Laras,Ariocarpus fissuratus,USA : Texas (Hot Springs),NA,NA
AL 80,Andreas Laras,Ariocarpus fissuratus,USA : Texas (River Road East),NA,NA
AL 96,Andreas Laras,Ariocarpus fissuratus,USA : Texas (Mariscal Mine),NA,NA
AL 113,Andreas Laras,Ariocarpus fissuratus,USA : Texas (Dagger Flat),NA,NA
AL 313,Andreas Laras,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Parras de la Fuente),NA,NA
BP 924,Brian Penick,Ariocarpus fissuratus,USA : Texas (Jeff Davis County),23/09/2024,NA
LB 159,C. A. Ludwig Bercht,Ariocarpus fissuratus,"Big Bend, Texas, USA",NA,NA
LB 182,C. A. Ludwig Bercht,Ariocarpus fissuratus,"Brewster County, Texas, USA",NA,NA
Z 61,Carlo Zanovello,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Parras),NA,NA
Z 68,Carlo Zanovello,Ariocarpus fissuratus  v. hintonii,Mexicó : San Luis Potosí (Matehuala),NA,NA
GLF 1630,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Ariocarpus fissuratus,"hills just East of Sanderson, Texas, USA",NA,NA
GLF 1659,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Ariocarpus fissuratus  v. lloydii,"hills South-West of Parras, by church, Coahuila, Mexicó",NA,NA
GLF 1688,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Ariocarpus fissuratus  f. intermedius,"Sierra de la Paila, km 496, Coahuila, Mexicó",NA,NA
GLF 2183,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Ariocarpus fissuratus  f. intermedius,"mountain, South-West border of Laguna de Viesca, Coahuila, Mexicó",NA,NA
CS 98.1,Chris Sherrah,Ariocarpus fissuratus ssp. lloydii,"Mexicó : Coahuila (Parras, 1580 m)",03/06/2007,NA
CS 102.2,Chris Sherrah,Ariocarpus fissuratus,"Mexicó : Coahuila (Cuatrocienegas, 797 m)",05/06/2007,NA
CS 845.13,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Lajitas, 785 m)",11/05/2016,NA
CS 846.4,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Terlingua, 804 m)",12/05/2016,NA
CS 847.2,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Terlingua 2, 803 m)",12/05/2016,NA
CS 848.4_412,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Terlingua 3, 846 m)",12/05/2016,NA
CS 852.14,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Big Bend NP 4, 611 m)",14/05/2016,NA
CS 853.4,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Big Bend NP 5, 614 m)",14/05/2016,NA
CS 854.9,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Big Bend NP 6, 590 m)",15/05/2016,NA
CS 856.7_420,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Big Bend NP 8, 1047 m)",16/05/2016,NA
CS 857.2,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Big Bend NP 9, 786 m)",16/05/2016,NA
CS 862.16,Chris Sherrah,Ariocarpus fissuratus,"USA : Texas (Marathon 4, 1256 m)",19/05/2016,NA
MC 400,Colli Martina,Ariocarpus fissuratus,"Mexicó : Chihuahua (El Pueblito, 1500m)",NA,NA
H 9577,David Richard Hunt,Ariocarpus fissuratus,NA,NA,NA
SH 703,Dennis Sargant (plants collected by Alfred Bernhard Lau),Ariocarpus fissuratus,Mexicó : Chihuahua (Coyame 1700m),28/04/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
