field_number,collector,species,locality,date,notes
LS 148,"Alexander Lux, Roman Staník",Astrophytum myriostigma,Mexicó : San Luis Potosi (Presa de Guadelupe),NA,NA
LAU 727,Alfred Bernhard Lau,Astrophytum myriostigma,Mexicó : San Luis Potosi (Las Tablas 1400m),02/11/1974,"together with L723, L724, L725, L726"
L 727,Alfred Bernhard Lau,Astrophytum myriostigma,Mexicó : San Luis Potosi (Las Tablas 1400m),02/11/1974,"together with L723, L724, L725, L726"
LAU 728,Alfred Bernhard Lau,Astrophytum myriostigma  v. strongylogonum,Mexicó : San Luis Potosi (Villar 1500m),13/11/1974,"together with Gymnocactus knuthianus, Mammillaria aureilanata"
L 728,Alfred Bernhard Lau,Astrophytum myriostigma  v. strongylogonum,Mexicó : San Luis Potosi (Villar 1500m),13/11/1974,"together with Gymnocactus knuthianus, Mammillaria aureilanata"
L 1017,Alfred Bernhard Lau,Astrophytum myriostigma  v. quadricostatum,Mexicó : Tamaulipas (Jaumave 600m),17/10/1974,together with Mammillaria viereckii
LAU 1017,Alfred Bernhard Lau,Astrophytum myriostigma  v. quadricostatum,Mexicó : Tamaulipas (Jaumave 600m),17/10/1974,together with Mammillaria viereckii
L 1024,Alfred Bernhard Lau,Astrophytum myriostigma  v. columnare,Mexicó : Tamaulipas (Miquihuana 1900m),22/11/1974,"together with Neolloydia conoidea, Mammillaria candida"
LAU 1024,Alfred Bernhard Lau,Astrophytum myriostigma  v. columnare,Mexicó : Tamaulipas (Miquihuana 1900m),22/11/1974,"together with Neolloydia conoidea, Mammillaria candida"
LAU 1183,Alfred Bernhard Lau,Astrophytum myriostigma  v. nudum,Mexicó : San Luis Potosi (Sierra de Santa Rita-Jauja 1600-1800m),17/10/1978,"together with L1184, L1185"
L 1183,Alfred Bernhard Lau,Astrophytum myriostigma  v. nudum,Mexicó : San Luis Potosi (Sierra de Santa Rita-Jauja 1600-1800m),17/10/1978,"together with L1184, L1185"
AL 225,Andreas Laras,Astrophytum myriostigma  v. columnare,Mexicó : San Luis Potosí (Entronque El Huizache),NA,NA
AL 250,Andreas Laras,Astrophytum myriostigma,Mexicó : Tamaulipas (San Antonio),NA,NA
AL 410,Andreas Laras,Astrophytum myriostigma,Mexicó : San Luis Potosí (Palomas),NA,NA
AL 411,Andreas Laras,Astrophytum myriostigma,Mexicó : San Luis Potosí (Las Tablas),NA,NA
Z 119,Carlo Zanovello,Astrophytum myriostigma,Mexicó : Tamaulipas (Los Ebanos),NA,NA
GOMEZ 807,Carlos Gómez Hinostrosa,Astrophytum myriostigma,"Mier y Noriega, Nuevo Leon, Mexicó",NA,NA
GLDONEY 566,"Charles (Charlie) Edward Glass, B. Doney",Astrophytum myriostigma  v. quadricostatum,Mexicó :,NA,NA
GLDONEY 584,"Charles (Charlie) Edward Glass, B. Doney",Astrophytum myriostigma  v. potosinum,Mexicó :  (Mexicó),NA,NA
GLF 648,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Astrophytum myriostigma  v. potosinum,Mexicó : San Luis Potosi (0.25 mile South of Presa de Guadalupe off Huizache road),NA,NA
GLF 683a,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Astrophytum myriostigma,"6 miles South-West of Jaumave, Tamaulipas, Mexicó",NA,NA
GLF 683,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Astrophytum myriostigma  v. quadricostatum,"6 miles South-West of Jaumave, Tamaulipas, Mexicó",NA,NA
GLF 873,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Astrophytum myriostigma  v. strongylogonum,"near Garcia, Charco Blanco to Guadalcazar, San Luis Potosi, Mexicó, San Luis Potosi, Mexicó",NA,NA
GLF 2169,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",Astrophytum myriostigma,"along river South of Ciudad Lerdo, Durango, Mexicó",NA,NA
CS 110.7,Chris Sherrah,Astrophytum myriostigma,"Mexicó : San Luis Potosi (East of Huizache, 1200 m)",16/06/2007,NA
SH 727,Dennis Sargant (plants collected by Alfred Bernhard Lau),Astrophytum myriostigma,Mexicó : San Luis Potosi (Las Tablas 1400m),02/11/1974,"together with L723, L724, L725, L726"
SH 728,Dennis Sargant (plants collected by Alfred Bernhard Lau),Astrophytum myriostigma  v. strongylogonum,Mexicó : San Luis Potosi (Villar 1500m),13/11/1974,"together with Gymnocactus knuthianus, Mammillaria aureilanata"
SH 1017,Dennis Sargant (plants collected by Alfred Bernhard Lau),Astrophytum myriostigma  v. quadricostatum,Mexicó : Tamaulipas (Jaumave 600m),17/10/1974,together with Mammillaria viereckii
SH 1024,Dennis Sargant (plants collected by Alfred Bernhard Lau),Astrophytum myriostigma  v. columnare,Mexicó : Tamaulipas (Miquihuana 1900m),22/11/1974,"together with Neolloydia conoidea, Mammillaria candida"
SH 1183,Dennis Sargant (plants collected by Alfred Bernhard Lau),Astrophytum myriostigma  v. nudum,Mexicó : San Luis Potosi (Sierra de Santa Rita-Jauja 1600-1800m),17/10/1978,"together with L1184, L1185"
GL 652,Gary Loos,Astrophytum myriostigma  v. strongylogonum,Mexicó : San Luis Potosi (Las Tablas),NA,NA
GM 148,Grzegorz Matuszewski,Astrophytum myriostigma  v. tulense,Mexicó : Tamaulipasaulipas (Magdaleno Cedillo),1996,NA
GM 150,Grzegorz Matuszewski,Astrophytum myriostigma,"Mexicó : San Louis Potosi (Ciudad del Maiz, 1600 m)",1996,NA
GM 216.1,Grzegorz Matuszewski,Astrophytum myriostigma  v. columnare,"Mexicó : San Louis Potosi (El Huizache, 1430 m)",1997,NA
