field_number,collector,species,locality,date,notes
"GC 296,02",Graham Charles,Eulychnia taltalensis,Chile :  (N. Paposo),NA,NA
"GC 298,03",Graham Charles,Eulychnia taltalensis,Chile :  (San Ramon Valley),NA,NA
"GC 299,02",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA
"GC 300,03",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA
"GC 301,03",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA
"GC 302,02",Graham Charles,Eulychnia taltalensis,Chile :  (Guanillos),NA,NA
"GC 305,02",Graham Charles,Eulychnia taltalensis,Chile :  (Breas),NA,NA
"GC 730,03",Graham Charles,Eulychnia taltalensis,Chile :  (North of Taltal),NA,NA
"GC 733,02",Graham Charles,Eulychnia taltalensis,Chile :  (North of Paposo),NA,NA
"GC 734,02",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA
"GC 737,05",Graham Charles,Eulychnia taltalensis,Chile :  (Botija Valley),NA,NA
HNS 223,HNS,Eulychnia taltalensis,"Chile : Antofagasta (above Playa Sara, 49m)",NA,NA
HNS 225,HNS,Eulychnia taltalensis,"Chile : Antofagasta (Reserva Nacional Poposo, 600m)",NA,NA
HNS 228,HNS,Eulychnia taltalensis,"Chile : Antofagasta (Santunario Lidia Escobar Negra, 411m)",NA,NA
JN 854,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (above Playa Sara, 49 m)",2012,NA
JN 856,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (Rezerva Nacional Paposo, 600 m)",2012,NA
JN 862,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (Santunario Lidia Escobar Negra, 411 m)",2012,NA
JN 1319,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (Ruta 1 Paposo->Blanco Encalada, 48 m)",2015,NA
JN 1701,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Paposo - Blanco Encalada),2018,NA
JN 2683,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Quebrada Matancilla),2024,NA
JN 2687,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Quebrada Portezuelo),2024,NA
JN 2694,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Cerro Mont Perrales),2024,NA
KK 1278,Karel Kníže,Eulychnia taltalensis  Kníže n.n.,"Chile :  (Taltal,300m)",NA,NA
SV 90,Martin Švidrnoch,Eulychnia taltalensis,"Chile : Antofagasta (Ruta 1 Paposo->Blanco Encalada, 48 m)",2015,NA
PH 252.06,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Botija, 400-480m)",10/02/01,NA
PH 253.03,Paul Hoxey,Eulychnia taltalensis,"Between Caleta Botija and Punta Plata, Antofagasta, Chile 60-250m",11/02/01,NA
PH 254.03,Paul Hoxey,Eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile 10m",11/02/01,NA
PH 255.02,Paul Hoxey,Eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile 40m",11/02/01,NA
PH 256.02,Paul Hoxey,Eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile 530-720m",11/02/01,NA
