field_number,collector,species,locality,date,notes
BB 102.01,Brian Francis Bates,Melocactus salvadorensis,"Brazil : Bahia (Mun. Jequié, Mun. Jequié  241m)",1999/05/24,NA
CS 365.1_125,Chris Sherrah,Melocactus salvadorensis,Brazil : Bahia (Jequie),21/11/2009,NA
CS 366.13,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho, 260 m)",22/11/2009,NA
CS 367.5,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho 2, 290 m)",22/11/2009,NA
CS 368.3,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho 3, 343 m)",22/11/2009,NA
CS 371.4_135,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Rio de Contas, 925 m)",24/11/2009,NA
GJA 7.09,Gérard Ardisson,Melocactus salvadorensis,"ItiÃ®ra, Bahia, Brazil",01/05/07,NA
GD 100-1,Gérard Delanoy,Melocactus salvadorensis,"East of Sussuarana, Bahia, Brazil",NA,NA
GD 101-1,Gérard Delanoy,Melocactus salvadorensis,"East of Sussuarana, 1 km after GD100, Bahia, Brazil",NA,NA
GD 105-2,Gérard Delanoy,Melocactus salvadorensis,"South-West of Jequié, Bahia, Brazil",NA,NA
GD 106-2,Gérard Delanoy,Melocactus salvadorensis,"John's Quarry, South-West of Jequié, Rio",NA,NA
"GC 483,05",Graham Charles,Melocactus salvadorensis,Brazil :  (W. Jequié),NA,NA
"GC 486,05",Graham Charles,Melocactus salvadorensis,Brazil :  (Porto Alegre),NA,NA
"GC 686,02",Graham Charles,Melocactus salvadorensis,Brazil :  (Sussuarana),NA,NA
"GC 1022,02",Graham Charles,Melocactus salvadorensis,Brazil :  (Sussuarana),NA,NA
"GC 1048,05",Graham Charles,Melocactus salvadorensis,Brazil :  (West of Jequié),NA,NA
"GC 1050,02",Graham Charles,Melocactus salvadorensis  aff.,Brazil :  (Milagres),NA,NA
pm 126,Ken Preston-Mafham,Melocactus salvadorensis,"6km South of Milagres, Brazil",NA,NA
pm 129,Ken Preston-Mafham,Melocactus salvadorensis,"Jequie, Brazil",NA,NA
HU 301,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"Bananeiras, Bahia, Brazil",24/05/1905,NA
HU 535,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"2 km North-West of Jacaraci, Bahia, Brazil",NA,NA
HU 576,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"Licinio de Almeida, Bahia, Brazil",NA,NA
NPT 1523,Nigel Paul Taylor,Melocactus salvadorensis,"Brumado w 36km, BR 030 towards Caetite, Bahia, Brazil 660m",02/02/91,NA
NPT 1542,Nigel Paul Taylor,Melocactus salvadorensis,"BR 030 25km along towards Sussuarana, Bahia, Brazil 400m",03/02/91,NA
NPT 1545,Nigel Paul Taylor,Melocactus salvadorensis,"BR 030 54km along towards Sussuarana, Bahia, Brazil 400m",03/02/91,NA
NPT 1549,Nigel Paul Taylor,Melocactus salvadorensis,"Contendas do Sincorá 34km towards MaracÃ¡s, Bahia, Brazil 380m",04/02/91,NA
NPT 1553,Nigel Paul Taylor,Melocactus salvadorensis,"Porto Alegre e 6-7km, Bahia, Brazil 300m",04/02/91,NA
NPT 1580,Nigel Paul Taylor,Melocactus salvadorensis,"Iañu w 5.5km, Bahia, Brazil 300m",07/02/91,NA
NPT 1609,Nigel Paul Taylor,Melocactus salvadorensis,"Baixa Grande e 42.5km, BA 052, Bahia, Brazil 310m",09/02/91,NA
NPT 1611,Nigel Paul Taylor,Melocactus salvadorensis,"Ipirá e 24km, BA 052, Bahia, Brazil 300m",09/02/91,NA
PCO 1188-01,Philippe Corman,Melocactus salvadorensis,Brazil : Bahia (Feira de Santana-Morro do Chapeu),2008,NA
