field_number,collector,species,locality,date,notes
AH 323,Andreas Hofacker,Pilosocereus pachycladus,Brazil : Minas Gerais (East of Pedra Azul),1992,NA
AH 339,Andreas Hofacker,Pilosocereus pachycladus,Brazil : Bahia (West of Morro do Chapéu),1992,NA
BB 077.03,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapéu  970m)",1999/05/15,NA
BB 078.04,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapéu  970m)",1999/05/15,NA
BB 085.06,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Morro do Chapéu, W of Morro do Chapéu -> America Dourada  790m)",1999/05/16,NA
BB 086.03,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Morro do Chapéu, near Jacarezinho  845m)",1999/05/16,NA
BB 089.01,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Seabra, Seabra 1300m)",1999/05/19,NA
BB 090.02,Brian Francis Bates,Pilosocereus pachycladus,Brazil : Bahia (W of Seabra),1999/05/19,NA
BB 091.02,Brian Francis Bates,Pilosocereus pachycladus,Brazil : Bahia (W of Seabra  900m),1999/05/19,NA
BB 092.01,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Seabra, E of Seabra  780m)",1999/05/19,NA
BB 094.02,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Mucugê, Mucugê 1075m)",1999/05/20,NA
BB 096.05,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Rio de Contas, Rio de Contas near waterfall  925m)",1999/05/21,NA
BB 099.07,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Ituaçu, Mun. Ituaçu  650m)",1999/05/23,NA
BB 109.01,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Minas Gerais (Mun. Aracuai, Aracuai  300m)",1999/05/27,NA
BB 128.03,Brian Francis Bates,Pilosocereus pachycladus,Brazil : Minas Gerais (1315m),1999/06/05,NA
BB 129.02,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Minas Gerais (Mun. Montalvania, Porto Agraria)",1999/06/07,NA
BB 134.02,Brian Francis Bates,Pilosocereus pachycladus,"Brazil : Bahia (Mun. Ipirá?, W of Ipirá)",1999/06/15,NA
BB 145.03,Brian Francis Bates,Pilosocereus pachycladus  / magnificus / catingicola,"Brazil : Bahia (Mun. Mucugê, S of Mucugê)",1999/06/17,NA
CS 154.3,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Sobradinho 1, 389 m)",20/10/2007,NA
CS 156.1_71,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (South of Massaroca Hwy 407, 592 m)",21/10/2007,NA
CS 179.3,Chris Sherrah,Pilosocereus pachycladus,Brazil : Bahia (Barrieras),10/11/2007,NA
CS 180.2,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (America Dourada, 879 m)",10/11/2007,NA
CS 180.2,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (America Dourada, 882 m)",01/12/2009,NA
CS 357.1,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Minas Gerais (Itinga, 300 m)",18/11/2009,NA
CS 358.1_115,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Minas Gerais (Itinga 2, 300 m)",18/11/2009,NA
CS 363.1_122,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Minas Gerais (Pedra Azul 4, 670 m)",19/11/2009,NA
CS 369.2_131,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Serra Escura, 620 m)",23/11/2009,NA
CS 370.3,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Brumado, 650 m)",24/11/2009,NA
CS 371.3,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Rio de Contas, 925 m)",24/11/2009,NA
CS 374.3,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Porto Novo, 498 m)",27/11/2009,NA
CS 377.2,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Seabra, 1129 m)",30/11/2009,NA
CS 380.3,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Capim Grosso, 392 m)",03/12/2009,NA
CS 383.9,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Delfino, 624 m)",05/12/2009,NA
CS 385.3,Chris Sherrah,Pilosocereus pachycladus,"Brazil : Bahia (Rio Morim Mimoso, 1226 m)",05/12/2009,NA
CS 386.1_154,Chris Sherrah,Pilosocereus pachycladus ssp. pernambucoensis,"Brazil : Alagoas (Paulo Alfonso, 306 m)",07/12/2009,NA
RITT 1223,Friedrich Ritter,Pilosocereus pachycladus,"Below Monte Azul, Minas Gerais, Brazil",seed,seed
FR 1223,Friedrich Ritter,Pilosocereus pachycladus,"Urandi, Bahia, Brazil",seed,seed
RITT 1223,Friedrich Ritter,Pilosocereus pachycladus,"Urandi, Bahia, Brazil",seed,seed
FR 1223,Friedrich Ritter,Pilosocereus pachycladus,"Below Monte Azul, Minas Gerais, Brazil",seed,seed
RITT 1290,Friedrich Ritter,Pilosocereus pachycladus,Brazil  :,NA,NA
FR 1290,Friedrich Ritter,Pilosocereus pachycladus,Brazil  :,NA,NA
GJA 7.13,Gérard Ardisson,Pilosocereus pachycladus,Brazil : Bahia (America Dourada),01/05/07,NA
GJA 7.37,Gérard Ardisson,Pilosocereus pachycladus,"Morro do Chapeu, Bahia, Brazil",01/05/07,NA
GD 39223,Gérard Delanoy,Pilosocereus pachycladus,"Road leaving BR052, returning towards Morro de Chapeu, Bahia, Brazil",NA,NA
GD 39134,Gérard Delanoy,Pilosocereus pachycladus,"BA426, South-West Morro de Chapeu, Bahia, Brazil",NA,NA
GD 39317,Gérard Delanoy,Pilosocereus pachycladus,"BA426, South-West Morro de Chapeu, Bahia, Brazil",NA,NA
GD 39167,Gérard Delanoy,Pilosocereus pachycladus,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",NA,NA
GD 39140,Gérard Delanoy,Pilosocereus pachycladus,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",NA,NA
GD 47b-2,Gérard Delanoy,Pilosocereus pachycladus,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",NA,NA
GD 47a-3,Gérard Delanoy,Pilosocereus pachycladus,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",NA,NA
GD 51-4,Gérard Delanoy,Pilosocereus pachycladus,"15km North of Porto-Novo, Bahia, Brazil",NA,NA
GD 54-2,Gérard Delanoy,Pilosocereus pachycladus,"20km South of Iulu, Bahia, Brazil",NA,NA
GD 57-3,Gérard Delanoy,Pilosocereus pachycladus,"BR030, 5km after Guanambi, Bahia, Brazil",NA,NA
GD 58-2,Gérard Delanoy,Pilosocereus pachycladus,"South of Caitité, road towards Brejinho das Amethystas, Bahia, Brazil",NA,NA
GD 59-3,Gérard Delanoy,Pilosocereus pachycladus,"Brejinho das Amethystas, Bahia, Brazil",NA,NA
GD 60-4,Gérard Delanoy,Pilosocereus pachycladus,"after Jurema, Bahia, Brazil",NA,NA
GD 64-3,Gérard Delanoy,Pilosocereus pachycladus,"5km after GD63, Minas Gerais, Brazil",NA,NA
GD 102-4,Gérard Delanoy,Pilosocereus pachycladus,"Serra Obscura, East of Sussuarana, Bahia, Brazil",NA,NA
A&M 348,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,"Brazil : Minas Gerais (Bocaiúva, Serra Mineira)",05/05/2009,NA
A&M 1392,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,Brazil : Minas Gerais (Januaria west of Januaria),25/06/2016,NA
A&M 1398,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,Brazil : Bahia (between Manga and IuiÃº),29/06/2016,NA
A&M 1410,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,Brazil : Bahia (Palmas de Monte Alto),01/07/2016,NA
A&M 1415,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,Brazil : Bahia (Palmas de Monte Alto),02/07/2016,NA
A&M 1455,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,Brazil : Bahia (MucugÃª west of the Santa Izabel cemetery),18/07/2016,NA
A&M 1457,"Giovanna Anceschi, Alberto Magli",Pilosocereus pachycladus,Brazil : Bahia (MucugÃª west of the Santa Izabel cemetery),18/07/2016,NA
"GC 352,1",Graham Charles,Pilosocereus pachycladus,Brazil  :  (W. Morro do Chapéu),NA,NA
"GC 353,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (San Rafael),NA,NA
"GC 354,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (W. Morro do Chapéu),NA,NA
"GC 358,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (Vargea Nova),NA,NA
"GC 368,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (W. of Petrolina),NA,NA
"GC 369,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (S. of Sento Sé),NA,NA
"GC 370,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (S. of Sento Sé),NA,NA
"GC 371,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (S. of Sento Sé),NA,NA
"GC 378,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (Xiche Xiche),NA,NA
"GC 380,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Mata dos Mendes),NA,NA
"GC 381,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (Piaté),NA,NA
"GC 492,06",Graham Charles,Pilosocereus pachycladus  (woolly),Brazil :  (W Itaobim),NA,NA
"GC 516,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (E Mato Verde),NA,NA
"GC 519,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (N  Licinio de Armeida),NA,NA
"GC 520,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (SW Brejinho das Ametistas),NA,NA
"GC 522,09",Graham Charles,Pilosocereus pachycladus,Brazil :  (Porto Novo),NA,NA
"GC 524,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (W Seabra),NA,NA
"GC 527,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (N of Morro do Chapéu),NA,NA
"GC 529,1",Graham Charles,Pilosocereus pachycladus,Brazil :  (N of Morro do Chapéu),NA,NA
"GC 643,07",Graham Charles,Pilosocereus pachycladus,Brazil :  (San Rafael),NA,NA
"GC 644,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (San Rafael),NA,NA
"GC 645,1",Graham Charles,Pilosocereus pachycladus,Brazil :  (Morro do Chapéu),NA,NA
"GC 649,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (Gruta dos Brejões),NA,NA
