field_number,collector,species,locality,date,notes
LAU 1569,Alfred Bernhard Lau,Rhipsalis baccifera,"Mexicó : Oaxaca (La Soledad , upper end Valle Nacional)",29/12/1987,NA
L 1569,Alfred Bernhard Lau,Rhipsalis baccifera,"Mexicó : Oaxaca (La Soledad , upper end Valle Nacional)",29/12/1987,NA
BB 1548.04,Brian Francis Bates,Rhipsalis baccifera,"Bolivia : Ch'saca (Tomina, Padilla - Monteagudo approx. 1/2 way 1270m)",2009/10/08,NA
BB 1845.07,Brian Francis Bates,Rhipsalis baccifera ssp. shaferi,"Paraguay : Alto Paraguay (ca. 110km West of Puerto Casado, 105m)",19/08/2013,NA
CS 314.3,Chris Sherrah,Rhipsalis baccifera,"Bolivia : Chuquisaca (Monteagudo, 1270 m)",08/10/2009,NA
CS 471.3,Chris Sherrah,Rhipsalis baccifera,"Argentina : Catamarca (Alijilan 2, 1112 m)",14/03/2010,NA
HUN 715,Cyrill Hunkeler,Rhipsalis baccifera,"Campo Quijano, Private Camping, Salta, Argentina 1513m",NA,NA
RF 8,Damien Richard,Rhipsalis baccifera ssp. baccifera,Dominican Republic : Bayahibe (2 km North of Bayahibe),04/2008,"Plante épiphyte assez présente sur les arbres autour de Bayahibe. Lors de ma visite, des fleurs et des fruits étaient visibles."
SH 1569,Dennis Sargant (plants collected by Alfred Bernhard Lau),Rhipsalis baccifera,"Mexicó : Oaxaca (La Soledad , upper end Valle Nacional)",29/12/1987,NA
EVJ 16889,Ernst Jacobus van Jaarsveld,Rhipsalis baccifera,"Mbashe River, Tsolorha, Eastern Cape, South Africa",Ems present,Ems present
JA 382,"Florencia Senoret, Juan Pablo Acosta (Spiniflores)",Rhipsalis baccifera,"Dique la Cienaga, north of Salta,  ARGENTINA, 1.250 m",NA,NA
GJA 7.32,Gérard Ardisson,Rhipsalis baccifera,"Salvador, Bahia, Brazil",01/05/07,NA
GM 568,Grzegorz Matuszewski,Rhipsalis baccifera,Mexicó : Tamaulipasaulipas (Tamaulipas),2002,NA
IB08714,Ingo Breuer,Rhipsalis baccifera,"South Africa  :  (Oribi Gorge, 396)",04/02/2002,NA
JAA 376,Jean André Audissou,Rhipsalis baccifera,"Mt Ibity, Madagascar",August 2003,NA
JM 75837,Jens Madsen,Rhipsalis baccifera,"Ecuador :  (Zamora to Loja km 8, Zamora-Chinchipe, 1200m)",NA,NA
JM 75840,Jens Madsen,Rhipsalis baccifera,"Ecuador :  (Yanzatza s 5km, Zamora-Chinchipe, 950m)",NA,NA
pm 21,Ken Preston-Mafham,Rhipsalis baccifera,"Jalapa, Veracruz, Mexicó",NA,NA
HU 1099,"Leopoldo Horst, later, Kurt-Ingo Horst",Rhipsalis baccifera,"Loreto, Rio Grande do Sul, Brazil",NA,NA
MZ 561,Milan Zachar,Rhipsalis baccifera,"La Union, Puebla, Mexicó",NA,NA
TB 421.2,Tomasz Blaczkowski,Rhipsalis baccifera,"Argentina : Salta (Cinco Duraznos  N of El Jardin, 1244 m)",2009/01/22,NA
