field_number,collector,species,locality,date,notes
BB 074.01,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Ventura  910m)",1999/05/14,NA
BB 075.04,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapeu  - Jacobina  930m)",1999/05/15,NA
BB 077.02,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapéu  970m)",1999/05/15,NA
BB 086.04,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, near Jacarezinho  845m)",1999/05/16,NA
BB 087.05,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapéu 1180m)",1999/05/17,NA
BB 095.01,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Mucugê, Mucugé 1050m)",1999/05/20,NA
BB 096.06,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Rio de Contas, Rio de Contas near waterfall  925m)",1999/05/21,NA
BB 097.01,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Rio de Contas, Rio de Contas, Pico das Almas 1685m)",1999/05/22,NA
BB 136.01,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, E of Morro do Chapéu)",1999/06/15,NA
BB 139.02,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Seabra, Seabra 1300m)",1999/06/17,NA
BB 145.02,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Mucugê, S of Mucugê)",1999/06/17,NA
BB 146.01,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Mucugê, S of Mucugê)",1999/06/18,NA
CS 371.2,Chris Sherrah,Stephanocereus luetzelburgii,"Brazil : Bahia (Rio de Contas, 925 m)",24/11/2009,NA
CS 372.1,Chris Sherrah,Stephanocereus luetzelburgii,"Brazil : Bahia (Mucage, 1050 m)",25/11/2009,NA
GJA 7.05,Gérard Ardisson,Stephanocereus luetzelburgii,"Mucugé, Bahia, Brazil",01/05/07,NA
"GC 352,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (W. Morro do Chapéu),NA,NA
"GC 355,02",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA
"GC 356,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA
"GC 357,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA
"GC 380,05",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Mata dos Mendes),NA,NA
"GC 381,03",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Piaté),NA,NA
"GC 382,03",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Mucugé),NA,NA
"GC 524,05",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (W Seabra),NA,NA
"GC 529,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (N of Morro do Chapéu),NA,NA
"GC 645,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA
"GC 646,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA
"GC 648,02",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA
"GC 1007,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (West of Morro do Chapéu),NA,NA
"GC 1012,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (South of Morro do Chapéu),NA,NA
"GC 1013,05",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (West of Seabra),NA,NA
HU 136,"Leopoldo Horst, later, Kurt-Ingo Horst",Stephanocereus luetzelburgii,"Seabra, Bahia, Brazil",NA,NA
HU 1396,"Leopoldo Horst, later, Kurt-Ingo Horst",Stephanocereus luetzelburgii,"Piat?, Bahia, Brazil",NA,NA
HU 1498,"Leopoldo Horst, later, Kurt-Ingo Horst",Stephanocereus luetzelburgii,"Pico das Almas, Bahia, Brazil",NA,NA
PCO 1189-01,Philippe Corman,Stephanocereus luetzelburgii,Brazil : Bahia (Morro do Chapeu),2008,NA
BR 623,Pierre Josef Braun,Stephanocereus luetzelburgii,Brazil : Bahia (Seabra),1986/07,NA
BU 623,Pierre Josef Braun,Stephanocereus luetzelburgii,Brazil : Bahia (Seabra),1986/07,NA
WCO 383,Wolfgang Colotti,Stephanocereus luetzelburgii,"Cachoeira do Fraga, Rio de Contas, Bahia",05/06/09,NA
