field_number,collector,species,locality,date,notes
LAU 663,Alfred Bernhard Lau,Thelocactus conothelos  v. argenteus,Mexicó : Nuevo Leon (road from Ascension to Sandia 2200m),03/03/1974,NA
L 663,Alfred Bernhard Lau,Thelocactus conothelos  v. argenteus,Mexicó : Nuevo Leon (road from Ascension to Sandia 2200m),03/03/1974,NA
LAU 731,Alfred Bernhard Lau,Thelocactus conothelos,Mexicó : San Luis Potosi (road from Cardenas to La Jolla 1600-1800m),16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma"
L 731,Alfred Bernhard Lau,Thelocactus conothelos,Mexicó : San Luis Potosi (road from Cardenas to La Jolla 1600-1800m),16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma"
LAU 1068,Alfred Bernhard Lau,Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo Leon (Aramberri 900-1300m),26/11/1974,"together with L1063, L1064, L1069"
L 1068,Alfred Bernhard Lau,Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo Leon (Aramberri 900-1300m),26/11/1974,"together with L1063, L1064, L1069"
DAR 15,Amante Darmanin,Thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexicó",NA,NA
DAR 115,Amante Darmanin,Thelocactus conothelos,Mexicó : Tamaulipas (Tula),NA,NA
DAR 198,Amante Darmanin,Thelocactus conothelos,"La Perdida, Tamaulipas, Mexicó",NA,NA
AL 287,Andreas Laras,Thelocactus conothelos ssp. aurantiacus,Mexicó : Nuevo León (north of Marmolejo),NA,NA
TK 334,Antonín Krejčík,Thelocactus conothelos,"Bustamante, Mexicó",NA,NA
TK 338,Antonín Krejčík,Thelocactus conothelos,"Nuevo Leon to Puentes, Mexicó",NA,NA
TK 344,Antonín Krejčík,Thelocactus conothelos,"Aramberi to La Escondida, Mexicó",NA,NA
Z 7,Carlo Zanovello,Thelocactus conothelos,Mexicó : Tamaulipas (Tula),NA,NA
Z 122,Carlo Zanovello,Thelocactus conothelos,Mexicó : Tamaulipas (La Perdida),NA,NA
Z 128A,Carlo Zanovello,Thelocactus conothelos,Mexicó : Nuevo León (Myer y Noriega),NA,NA
