field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
AD 109,Aldo Delladdio,ariocarpus fissuratus ssp. fissuratus,"South-West of Cuatro Ciénegas, Coahuila, Mexico",768m,7-Feb-06,NA,bcss,"Cuatro Ciénegas, Coahuila, Mexico",direction_only,26.6665018,-102.3791854
AD 207,Aldo Delladdio,ariocarpus fissuratus ssp. lloydii,"from Parras to Tanque Menchaca, Coahuila, Mexico",1461m,14-Mar-10,NA,bcss,"from Parras to Tanque Menchaca, Coahuila, Mexico",direct,25.27482,-102.30103
AD 214,Aldo Delladdio,ariocarpus fissuratus,"Brewster County, Texas, USA",1012m,22-Mar-10,NA,bcss,"Brewster County, Texas, USA",direct,29.8462742,-103.2400734
AD 467,Aldo Delladdio,ariocarpus fissuratus,"Maderas del Carmen, Coahuila, Mexico",1262m,2-Apr-15,NA,bcss,"Maderas del Carmen, Coahuila, Mexico",direct,29.0063792,-102.5465257
AD 468,Aldo Delladdio,ariocarpus fissuratus,"West of Cuesta de Malena, Coahuila, Mexico",1332m,2-Apr-15,NA,bcss,"Cuesta de Malena, Coahuila, Mexico",direction_only,28.7325738,-102.489996
AD 688,Aldo Delladdio,ariocarpus fissuratus 'intermedius',"South-West of El Hundido, Cuatro Cienégas, Coahuila, Mexico",821m,9-Mar-19,NA,bcss,"El Hundido, Cuatro Cienégas, Coahuila, Mexico",direction_only,26.6095619,-102.3034754
AD 83,Aldo Delladdio,ariocarpus fissuratus ssp. lloydii,"South-West of Parras, behind hill with church of Santo Madero, Coahuila, Mexico",1601m,13-Mar-10,NA,bcss,"Parras, behind hill with church of Santo Madero, Coahuila, Mexico",direction_only,25.769438892,-103.272227089
AD 83,Aldo Delladdio,ariocarpus fissuratus ssp. lloydii,"South-West of Parras, behind hill with church of Santo Madero, Coahuila, Mexico",1614m,28-Jan-06,NA,bcss,"Parras, behind hill with church of Santo Madero, Coahuila, Mexico",direction_only,25.769438892,-103.272227089
AD 85,Aldo Delladdio,ariocarpus fissuratus ssp. lloydii,"South-West of Parras, behind hill with church of Santo Madero, Coahuila, Mexico",1621m,29-Jan-06,NA,bcss,"Parras, behind hill with church of Santo Madero, Coahuila, Mexico",direction_only,25.769438892,-103.272227089
AD 97,Aldo Delladdio,ariocarpus fissuratus ssp. lloydii,"South-East of Viesca, Coahuila, Mexico",1197m,31-Jan-06,NA,bcss,"Viesca, Coahuila, Mexico",direction_only,25.1900179,-102.8608673
AL 113,Dr. Andreas Laras,ariocarpus fissuratus,"Dagger Flat, Texas, USA",NA,NA,NA,bcss,"Dagger Flat, Texas, USA",direct,29.4890811,-103.0756407
AL 313,Dr. Andreas Laras,ariocarpus fissuratus v. lloydii,"Parras de la Fuente, Coahuila, México",NA,NA,NA,bcss,"Parras de la Fuente, Coahuila, México",direct,25.4436602,-102.1782179
AL 55,Dr. Andreas Laras,ariocarpus fissuratus,"Terlingua Ghost Town, Texas, USA",NA,NA,NA,bcss,"Terlingua Ghost Town, Texas, USA",direct,29.3206607,-103.6151181
AL 61,Dr. Andreas Laras,ariocarpus fissuratus,"Hot Springs, Texas, USA",NA,NA,NA,bcss,"Hot Springs, Texas, USA",direct,29.1776768,-102.9985803
AL 80,Dr. Andreas Laras,ariocarpus fissuratus,"River Road East, Texas, USA",NA,NA,NA,bcss,"River Road East, Texas, USA",direct,29.1371525,-103.0355087
