field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BB 2252.02,Brian Francis Bates,eulychnia taltalensis,"East of Taltal, 02 Antofagasta, Chile",315m,14/11/2018,same locality as BJB18-25,bcss,"Taltal, 02 Antofagasta, Chile",direction_only,-25.4078293,-70.4858424
BB 2253.02,Brian Francis Bates,eulychnia taltalensis,"Paposo, 02 Antofagasta, Chile",294m,18/11/2018,same locality as ADB2.44,bcss,"Paposo, 02 Antofagasta, Chile",direct,-25.0094441,-70.4653417
GC 296.02,Graham Charles,eulychnia taltalensis,North of Paposo,NA,NA,NA,bcss,Paposo,direction_only,-25.0094441,-70.4653417
GC 298.03,Graham Charles,eulychnia taltalensis,San Ramon Valley,NA,NA,NA,bcss,San Ramon Valley,direct,37.8257057,-122.007478
GC 299.02,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,Above Paposo,direct,-25.0078338,-70.4647483
GC 300.03,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,Above Paposo,direct,-25.0078338,-70.4647483
GC 301.03,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,Above Paposo,direct,-25.0078338,-70.4647483
GC 305.02,Graham Charles,eulychnia taltalensis,Breas,NA,NA,NA,bcss,Breas,direct,-25.5644609,-70.3757238
GC 730.03,Graham Charles,eulychnia taltalensis,North of Taltal,NA,NA,NA,bcss,Taltal,direction_only,-25.4078293,-70.4858424
GC 733.02,Graham Charles,eulychnia taltalensis,North of Paposo,NA,NA,NA,bcss,Paposo,direction_only,-25.0094441,-70.4653417
GC 734.02,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,Above Paposo,direct,-25.0078338,-70.4647483
GC 737.05,Graham Charles,eulychnia taltalensis,Botija Valley,NA,NA,NA,bcss,Botija Valley,direct,18.20635,-65.69683
JN 1319,Jan Novák,eulychnia taltalensis,"Ruta 1 Paposo to Blanco Encalada, 02 Antofagasta, Chile",48m,NA,NA,bcss,"Ruta 1 Paposo to Blanco Encalada, 02 Antofagasta, Chile",direct,-23.100071983598,-70.455436400116
JN 1701,Jan Novák,eulychnia taltalensis,"Paposo to Blanco Encalada, 02 Antofagasta, Chile",NA,NA,NA,bcss,"Paposo to Blanco Encalada, 02 Antofagasta, Chile",direct,-23.100071983598,-70.455436400116
JN 854,Jan Novák,eulychnia taltalensis,"above Playa Sara, Antofagasta, Chile",49m,Feb-12,NA,bcss,"above Playa Sara, Antofagasta, Chile",direct,-25.34203,-69.86705
JN 856,Jan Novák,eulychnia taltalensis,"Paposo National Reserve, Antofagasta, Chile",600m,Feb-12,NA,bcss,"Paposo National Reserve, Antofagasta, Chile",direct,-25.0078338,-70.4647483
JN 862,Jan Novák,eulychnia taltalensis,"Santunario Lidia Escobar Negra, Antofagasta, Chile",411m,Feb-12,NA,bcss,"Santunario Lidia Escobar Negra, Antofagasta, Chile",direct,-23.6266015,-70.390128
KBC 956,"Petr Kupčák
Josef Bis",eulychnia taltalensis,"Right side of road, Route 5 North, Taltal City, Antofagasta, Chile",293m,2008,"Long, brown to black spined form",bcss,"Right side of road, Route 5 North, Taltal City, Antofagasta, Chile",direct,-25.408105,-70.484284
KK 1278,Karel Kníže,eulychnia taltalensis,"Taltal, Chile",300-500m,NA,NA,bcss,"Taltal, Chile",direct,-25.4078293,-70.4858424
PH 252.6,Paul Hoxey,eulychnia taltalensis,"Quebrada Botija, Antofagasta, Chile",400-480m,10-Feb-01,NA,bcss,"Quebrada Botija, Antofagasta, Chile",direct,-24.497234,-70.5193899
PH 253.3,Paul Hoxey,eulychnia taltalensis,"Between Caleta Botija and Punta Plata, Antofagasta, Chile",60-250m,11-Feb-01,NA,bcss,"Between Caleta Botija and Punta Plata, Antofagasta, Chile",direct,-23.6266015,-70.390128
PH 254.3,Paul Hoxey,eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile",10m,11-Feb-01,NA,bcss,"Between Punta Plata and Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 255.2,Paul Hoxey,eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile",40m,11-Feb-01,NA,bcss,"Between Punta Plata and Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 256.2,Paul Hoxey,eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile",530-720m,11-Feb-01,NA,bcss,"Hills above Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 258.3,Paul Hoxey,eulychnia taltalensis,"South side of Quebrada de San Ramón, Antofagasta, Chile",300-720m,12-Feb-01,NA,bcss,"South side of Quebrada de San Ramón, Antofagasta, Chile",direct,-25.38226,-70.45201
