field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BB 102.01,Brian Francis Bates,melocactus salvadorensis,"Jequié Municipality, Bahia, Brazil",241m,24/05/1999,NA,bcss,"Jequié Municipality, Bahia, Brazil",direct,-11.0986,-38.9951
BB 105.03,Brian Francis Bates,melocactus salvadorensis,"Porto Alegre, Bahia, Brazil",280m,24/05/1999,NA,bcss,"Porto Alegre, Bahia, Brazil",direct,-13.842062,-40.6208841
BB 96.02,Brian Francis Bates,melocactus salvadorensis,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA,bcss,"Rio de Contas near waterfall, Bahia, Brazil",direct,-13.5778179,-41.8115466
BB 96.02,Brian Francis Bates,melocactus salvadorensis,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA,bcss,"Rio de Contas near waterfall, Bahia, Brazil",direct,-13.5778179,-41.8115466
CS 365.1_125,Chris Sherrah,melocactus salvadorensis,"Jequie, Bahia, Brasil",21/11/2009,21/11/2009,NA,bcss,"Jequie, Bahia, Brasil",direct,-13.8604033,-40.0719627
CS 366.13,Chris Sherrah,melocactus salvadorensis,"Espinho, Bahia, Brasil",260m,22/11/2009,NA,bcss,"Espinho, Bahia, Brasil",direct,-14.0233944,-42.5057602
CS 367.5,Chris Sherrah,melocactus salvadorensis,"Espinho 2, Bahia, Brasil",290m,22/11/2009,BB105 location,bcss,"Espinho 2, Bahia, Brasil",direct,-14.0233944,-42.5057602
CS 368.3,Chris Sherrah,melocactus salvadorensis,"Espinho 3, Bahia, Brasil",343m,22/11/2009,NA,bcss,"Espinho 3, Bahia, Brasil",direct,-14.0233944,-42.5057602
CS 371.4_135,Chris Sherrah,melocactus salvadorensis,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,BB096 location,bcss,"Rio de Contas, Bahia, Brasil",direct,-13.5803333,-41.8112152
GC 1022.02,Graham Charles,melocactus salvadorensis,Sussuarana,NA,NA,NA,bcss,Sussuarana,direct,-14.1598189,-41.2063284
GC 1048.05,Graham Charles,melocactus salvadorensis,West of Jequié,NA,NA,NA,bcss,Jequié,direction_only,-13.8604033,-40.0719627
GC 483.05,Graham Charles,melocactus salvadorensis,West of Jequié,NA,NA,NA,bcss,Jequié,direction_only,-13.8604033,-40.0719627
GC 486.05,Graham Charles,melocactus salvadorensis,Porto Alegre,NA,NA,NA,bcss,Porto Alegre,direct,-30.0324999,-51.2303767
GC 686.02,Graham Charles,melocactus salvadorensis,Sussuarana,NA,NA,NA,bcss,Sussuarana,direct,-14.1598189,-41.2063284
GD 100-1,Gérard Delanoy,melocactus salvadorensis,"East of Sussuarana, Bahia, Brazil",NA,NA,NA,bcss,"Sussuarana, Bahia, Brazil",direction_only,-14.1598189,-41.2063284
GD 101-1,Gérard Delanoy,melocactus salvadorensis,"East of Sussuarana, 1 km after GD100, Bahia, Brazil",NA,NA,NA,bcss,"Sussuarana, 1 km after GD100, Bahia, Brazil",direction_only,-13.281690982767,-42.602699018364
GD 105-2,Gérard Delanoy,melocactus salvadorensis,"South-West of Jequié, Bahia, Brazil",NA,NA,NA,bcss,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
