field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BR 623,Pierre Josef Braun,stephanocereus luetzelburgii,"Seabra, Bahia, Brazil",1986/07,1986/07,NA,bcss,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
BU 623,Pierre Josef Braun,stephanocereus luetzelburgii,"Seabra, Bahia, Brazil",1986/07,1986/07,NA,bcss,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
CS 371.2,Chris Sherrah,stephanocereus luetzelburgii,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,"BB096 location, syn Lagenosocereus",bcss,"Rio de Contas, Bahia, Brasil",direct,-13.5803333,-41.8112152
CS 372.1,Chris Sherrah,stephanocereus luetzelburgii,"Mucage, Bahia, Brasil",1050m,25/11/2009,"BB095 location, syn Lagenosocereus",bcss,"Mucage, Bahia, Brasil",direct,-13.0090975,-41.3717267
GJA 7.05,Gérard Ardisson,stephanocereus luetzelburgii,"Mucugé, Bahia, Brazil",May-07,May-07,NA,bcss,"Mucugé, Bahia, Brazil",direct,-13.0053,-41.370271
HU 136,"Leopoldo Horst,, later, Kurt-Ingo Horst",stephanocereus luetzelburgii,"Seabra, Bahia, Brazil","= Pilocereus, Coleocephalocereus","= Pilocereus, Coleocephalocereus","= Pilocereus, Coleocephalocereus",bcss,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
HU 1396,"Leopoldo Horst,, later, Kurt-Ingo Horst",stephanocereus luetzelburgii,"Piat?, Bahia, Brazil",NA,NA,NA,bcss,"Piat?, Bahia, Brazil",direct,-13.1545434,-41.7739181
HU 1498,"Leopoldo Horst,, later, Kurt-Ingo Horst",stephanocereus luetzelburgii,"Pico das Almas, Bahia, Brazil",NA,NA,NA,bcss,"Pico das Almas, Bahia, Brazil",direct,-13.5269323,-41.9681317
BB 074.01,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Ventura  910m)",NA,1999/05/14,NA,clcactus,"Mun. Morro do Chapéu, Ventura, Bahia, Brazil",direct,-11.67361,-40.99417
BB 075.04,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapeu  - Jacobina  930m)",NA,1999/05/15,NA,clcactus,"Mun. Morro do Chapéu, Morro do Chapeu  - Jacobina, Bahia, Brazil",direct,-11.54852,-41.15804
BB 077.02,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, Morro do Chapéu  970m)",NA,1999/05/15,NA,clcactus,"Mun. Morro do Chapéu, Morro do Chapéu, Bahia, Brazil",direct,-11.54852,-41.15804
BB 086.04,Brian Francis Bates,Stephanocereus luetzelburgii,"Brazil : Bahia (Mun. Morro do Chapéu, near Jacarezinho  845m)",NA,1999/05/16,NA,clcactus,"Mun. Morro do Chapéu, near Jacarezinho, Bahia, Brazil",direct,-11.5487212,-41.1596058
