field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
AD 298,Aldo Delladdio,thelocactus conothelos ssp. aurantiacus,"road to Marmolejo, Aramberri, Nuevo Leon, Mexico",1054m,15-Aug-12,NA,bcss,"road to Marmolejo, Aramberri, Nuevo Leon, Mexico",direct,24.134801111,-99.784346389
AD 333,Aldo Delladdio,thelocactus conothelos ssp. argenteus,"San Juan de Aviles, Nuevo Leon, Mexico",1612m,19-Apr-13,NA,bcss,"San Juan de Aviles, Nuevo Leon, Mexico",direct,24.1731513,-100.0704162
AD 335,Aldo Delladdio,thelocactus conothelos,"South of Tula, Tamaulipas, Mexico",1332m,21-Apr-13,NA,bcss,"Tula, Tamaulipas, Mexico",direction_only,22.9478816,-99.8055882
AD 417,Aldo Delladdio,thelocactus conothelos ssp. argenteus,"North of La Trinidad, Nuevo Leon, Mexico",1612m,27-Jan-18,NA,bcss,"La Trinidad, Nuevo Leon, Mexico",direction_only,24.0977137,-100.0591686
AD 507,Aldo Delladdio,thelocactus conothelos ssp. aurantiacus,"El Molino, Aramberri, Nuevo Leon, Mexico",1054m,10-Apr-17,NA,bcss,"El Molino, Aramberri, Nuevo Leon, Mexico",direct,24.1454702,-99.8095698
AD 684,Aldo Delladdio,thelocactus conothelos,"East of La Naranjita, San Luis Potosí, Mexico",1301m,11-Mar-19,NA,bcss,"La Naranjita, San Luis Potosí, Mexico",direction_only,23.2034315,-100.2154238
AD 873,Aldo Delladdio,thelocactus conothelos,"Laureles, Matehuala, San Luis Potosí, Mexico",2121m,9-Mar-22,NA,bcss,"Laureles, Matehuala, San Luis Potosí, Mexico",direct,23.6305284,-100.643472
AL 287,Dr. Andreas Laras,thelocactus conothelos ssp. aurantiacus,"North of Marmolejo, Nuevo León, México",NA,NA,NA,bcss,"Marmolejo, Nuevo León, México",direction_only,24.1346896,-99.7843536
CH 186,Jaromír Chvastek,thelocactus conothelos,"La Paz, San Antonio de las Castello, San Luis Potosí, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA,bcss,"La Paz, San Antonio de las Castello, San Luis Potosí, Mexico",direct,23.688421389,-100.472663056
CH 194,Jaromír Chvastek,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo León, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA,bcss,"Aramberri, Nuevo León, Mexico",direct,24.2217256,-99.9241345
CH 198,Jaromír Chvastek,thelocactus conothelos fma. saussieri,"Doctor Arroyo, Nuevo León, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA,bcss,"Doctor Arroyo, Nuevo León, Mexico",direct,23.8042046,-100.2256635
CH 237,Jaromír Chvastek,thelocactus conothelos,"Tula, Tamaulipas, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA,bcss,"Tula, Tamaulipas, Mexico",direct,22.9478816,-99.8055882
CH 320,Jaromír Chvastek,thelocactus conothelos,"La Gloria, Route 101, Tamaulipas, Mexico",1994/10/20,1994/10/20,NA,bcss,"La Gloria, Route 101, Tamaulipas, Mexico",direct,25.860634402307,-97.489749620431
CH 338,Jaromír Chvastek,thelocactus conothelos v. aurantiacus fma. nova,"Marmolejo, Nuevo León, Mexico",1050m,1994/10/22,NA,bcss,"Marmolejo, Nuevo León, Mexico",direct,24.1346896,-99.7843536
CH 472,Jaromír Chvastek,thelocactus conothelos,"Guerrero, San Luis Potosí, Mexico",1775m,1995/4/28,NA,bcss,"Guerrero, San Luis Potosí, Mexico",direct,21.5546766,-99.7699518
CH 477,Jaromír Chvastek,thelocactus conothelos,"Soledad, San Luis Potosí, Mexico",1535m,1995/4/29,NA,bcss,"Soledad, San Luis Potosí, Mexico",direct,22.2970555,-100.8671956
CH 491,Jaromír Chvastek,thelocactus conothelos v. argenteus,"San Juan de Aviles, Nuevo León, Mexico",1550m,1995/4/29,NA,bcss,"San Juan de Aviles, Nuevo León, Mexico",direct,24.1731513,-100.0704162
CH 493,Jaromír Chvastek,thelocactus conothelos v. argenteus,"Sandia Victoria, Nuevo León, Mexico",1635m,1995/4/29,NA,bcss,"Sandia Victoria, Nuevo León, Mexico",direct,24.20089,-100.07641
CS 1050.1,Chris Sherrah,thelocactus conothelos,"Charco Azul, Tamaulipas, Mexico",1082m,03/10/2022,DL971 location,bcss,"Charco Azul, Tamaulipas, Mexico",direct,25.9931228,-97.9841855
