field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BLMT 49.03,"Brian Francis Bates, Martin Lowry, Timothy (Tim) David Marshall, Tomlinson",trichocereus macrogonus,"Sucre to Tarabuco, Yamparaez, Chuquisaca, Bolivia",3081,1996/12/29,flat ground below road on S side,bcss,"Sucre to Tarabuco, Yamparaez, Chuquisaca, Bolivia",direct,-19.1818563,-64.9162224
BLMT 52.01,"Brian Francis Bates, Martin Lowry, Timothy (Tim) David Marshall, Tomlinson",trichocereus macrogonus,"Yotalla, Oropeza, Chuquisaca, Bolivia",1996/12/29,1996/12/29,Wooded slope E of road,bcss,"Yotalla, Oropeza, Chuquisaca, Bolivia",direct,-19.23331,-65.25679
BLMT 6.02,"Brian Francis Bates, Martin Lowry, Timothy (Tim) David Marshall, Tomlinson",trichocereus macrogonus,"Tarata n, El Arce, Cochabamba, Bolivia",2770m,1996/12/19,"near cemetary on W of road, hedging",bcss,"Tarata n, El Arce, Cochabamba, Bolivia",direct,-17.75568,-65.99344
CS 619.1,Chris Sherrah,trichocereus macrogonus v. peruvianus,"Lima to Canta, Lima, Peru",2451m,11/06/2010,NA,bcss,"Lima to Canta, Lima, Peru",direct,-11.6970023,-76.820474
KK 1422,Karel Kníže,trichocereus macrogonus,"Villa Abecia, Bolivia",2800m,NA,NA,bcss,"Villa Abecia, Bolivia",direct,-20.974536,-65.2307378
KK 2175,Karel Kníže,trichocereus macrogonus,"Apurimac, Pachachaca, Peru",2000m,NA,NA,bcss,"Apurimac, Pachachaca, Peru",direct,-13.85861,-73.00194
KK 2176,Karel Kníže,trichocereus macrogonus,"Ayacucho, Peru",2600m,NA,NA,bcss,"Ayacucho, Peru",direct,-14,-74
KK 923,Karel Kníže,trichocereus macrogonus,"Cieneguillas, Bolivia",3000m,NA,NA,bcss,"Cieneguillas, Bolivia",direct,-19.370091,-65.9224926
RBC 73,"Ramirez Brothers Cacti
(Luis Alberto, Juan H. Ramírez Pinto)",trichocereus macrogonus,"Cieneguillas, Mendez, Tarija, Bolivia",NA,NA,NA,bcss,"Cieneguillas, Mendez, Tarija, Bolivia",direct,-21.3701108,-65.0348486
CS 619.1,Chris Sherrah,Trichocereus macrogonus  peruvianus,"Perú : Lima (Lima to Canta, 2451 m)",NA,11/06/2010,NA,clcactus,"Lima to Canta,, Lima, Perú",direct,-11.6964864,-76.8289658
KK 923,Karel Kníže,Trichocereus macrogonus,"Bolivia :  (Cieneguillas,3000m)",NA,NA,NA,clcactus,"Cieneguillas,, Bolivia",direct,-19.370091,-65.9224926
KK 1422,Karel Kníže,Trichocereus macrogonus,"Bolivia :  (Villa Abecia,2500m)",NA,NA,NA,clcactus,"Villa Abecia,, Bolivia",direct,-20.974536,-65.2307378
KK 2175,Karel Kníže,Trichocereus macrogonus,"Perú :  (Apurimac,Pachachaca,2000m)",NA,NA,NA,clcactus,"Apurimac,Pachachaca,, Perú",direct,-13.85861,-73.00194
KK 2176,Karel Kníže,Trichocereus macrogonus,"Perú :  (Ayacucho,2600m)",NA,NA,NA,clcactus,"Ayacucho,, Perú",direct,-14,-74
RCB 73,"Ramirez Brothers Cacti (Luis Alberto, Juan H. Ramírez Pinto)",Trichocereus macrogonus,"Bolivia : Tarija (Cieneguillas, Mendez)",NA,NA,NA,clcactus,"Cieneguillas, Mendez, Tarija, Bolivia",direct,-21.3701108,-65.0348486
RBC 73,"Ramirez Brothers Cacti (Luis Alberto, Juan H. Ramírez Pinto)",Trichocereus macrogonus,"Bolivia : Tarija (Cieneguillas, Mendez)",NA,NA,NA,clcactus,"Cieneguillas, Mendez, Tarija, Bolivia",direct,-21.3701108,-65.0348486
