field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
AD 55,Aldo Delladdio,astrophytum myriostigma,"from Dr. Arroyo to Miquihuana, Tamaulipas, Mexico",1475m,16-Feb-05,NA,bcss,"Dr. Arroyo to Miquihuana, Tamaulipas, Mexico",direct,23.5442366,-99.9153163
AL 225,Dr. Andreas Laras,astrophytum myriostigma v. columnare,"Entronque El Huizache, San Luis Potosí, México",NA,NA,NA,bcss,"Entronque El Huizache, San Luis Potosí, Mexico",direct,22.210494137622,-101.004229363816
AL 250,Dr. Andreas Laras,astrophytum myriostigma,"San Antonio, Tamaulipas, México",NA,NA,NA,bcss,"San Antonio, Tamaulipas, Mexico",direct,23.5842448,-99.3438476
AL 410,Dr. Andreas Laras,astrophytum myriostigma,"Palomas, San Luis Potosí, México",NA,NA,NA,bcss,"Palomas, San Luis Potosí, Mexico",direct,22.4837267,-99.8499889
AL 411,Dr. Andreas Laras,astrophytum myriostigma,"Las Tablas, San Luis Potosí, México",NA,NA,NA,bcss,"Las Tablas, San Luis Potosí, Mexico",direct,22.2571034,-99.8613755
BZ 22,"Luciano Battaia, Carlo Zanovello",astrophytum myriostigma,"Buenavista, San Luis Potosí, Mexico",NA,NA,NA,bcss,"Buenavista, San Luis Potosí, Mexico",direct,22.5968848,-100.1458716
CH 231,Jaromír Chvastek,astrophytum myriostigma v. strongylogonum,"Charco Blanco, San Luis Potosí, Mexico",1992/3/21-/4/27,1992/3/21-/4/27,NA,bcss,"Charco Blanco, San Luis Potosí, Mexico",direct,22.6295776,-100.5198234
CH 305,Jaromír Chvastek,astrophytum myriostigma,"Rayon to Ciudad Maiz, Pto Sta Gertrudis, San Luis Potosí, Mexico",1225m,1994/10/19,NA,bcss,"Rayon to Ciudad Maiz, Puerto Santa Gertrudis, San Luis Potosí, Mexico",direct,22.308683056,-99.609598889
CH 311,Jaromír Chvastek,astrophytum myriostigma,"Las Palomas, San Luis Potosí, Mexico",1994/10/19,1994/10/19,NA,bcss,"Las Palomas, San Luis Potosí, Mexico",direct,22.069203,-100.9211043
CH 459,Jaromír Chvastek,astrophytum myriostigma,"Huizache, San Luis Potosí, Mexico",1995/4/27,1995/4/27,NA,bcss,"Huizache, San Luis Potosí, Mexico",direct,22.9103315,-100.5110812
CS 1025.6,Chris Sherrah,astrophytum myriostigma,"Presa de Guadalupe, San Luis Potosi, Mexico",1235m,11/03/2020,ML567 location,bcss,"Presa de Guadalupe, San Luis Potosí, Mexico",direct,22.859444,-100.1508953
CS 1032.6,Chris Sherrah,astrophytum myriostigma,"Las Tablas south, San Luis Potosi, Mexico",1040m,14/03/2020,PK2314 location,bcss,"Las Tablas, San Luis Potosí, Mexico",direction_only,22.2571034,-99.8613755
CS 1033.9,Chris Sherrah,astrophytum myriostigma,"Palomas, San Luis Potosi, Mexico",1129m,14/03/2020,DL986 location,bcss,"Palomas, San Luis Potosí, Mexico",direct,22.4837267,-99.8499889
CS 1047.5,Chris Sherrah,astrophytum myriostigma,"Pozo de Acuña, San Luis Potosí, Mexico",1396m,02/10/2022,LRM420 location,bcss,"Pozo de Acuña, San Luis Potosí, Mexico",direct,22.5719538,-100.2620713
CS 1048.7,Chris Sherrah,astrophytum myriostigma,"Presse de Guadalupe, San Luis Potosí, Mexico",1162m,03/10/2022,LRM277 location,bcss,"Presa de Guadalupe, San Luis Potosí, Mexico",direct,22.859444,-100.1508953
CS 1050.5,Chris Sherrah,astrophytum myriostigma,"Charco Azul, Tamaulipas, Mexico",1082m,03/10/2022,DL971 location,bcss,"Charco Azul, Tamaulipas, Mexico",direct,25.9931228,-97.9841855
CS 1051.10,Chris Sherrah,astrophytum myriostigma,"San Antonio, Tamaulipas, Mexico",727m,04/10/2022,PK3108 location,bcss,"San Antonio, Tamaulipas, Mexico",direct,23.5842448,-99.3438476
CS 110.7,Chris Sherrah,astrophytum myriostigma,"East of Huizache, San Luis Potosi, Mexico",1200m,16/06/2007,NA,bcss,"Huizache, San Luis Potosí, Mexico",direction_only,22.9103315,-100.5110812
CS 1103.8,Chris Sherrah,astrophytum myriostigma,"Buenavista, San Luis Potosi, Mexico",1145m,06/05/2024,LRM424 location,bcss,"Buenavista, San Luis Potosí, Mexico",direct,22.5968848,-100.1458716
CS 1113.2,Chris Sherrah,astrophytum myriostigma v. nudum,"Entronque Huizache, San Luis Potosi, Mexico",1464m,10/05/2024,GLASS&GLASS226 location,bcss,"Entronque Huizache, San Luis Potosí, Mexico",direct,22.149808894447,-100.90310915881
CSD 49,"Jaromír Chvastek, Roman Staník, Igor Dráb",astrophytum myriostigma,"Branch to Matias Garcia behind Jaumave, Tamaulipas, Mexico",25/04/1997,25/04/1997,= IDD54; also plants with 6 ribs + G89,bcss,"Matias Garcia, Jaumave, Tamaulipas, Mexico",direct,23.4035607,-99.4345938
CSD 75,"Jaromír Chvastek, Roman Staník, Igor Dráb",astrophytum myriostigma,"Towards to Buenavista Rancho, San Luis Potosí, Mexico",28/04/1997,28/04/1997,= IDD80,bcss,"Buenavista, San Luis Potosí, Mexico",direct,22.5968848,-100.1458716
CSD 85,"Jaromír Chvastek, Roman Staník, Igor Dráb",astrophytum myriostigma v. strongylogonum,"Charco Blanco, San Luis Potosí, Mexico",29/04/1997,29/04/1997,= IDD90; some plants flat like asterias,bcss,"Charco Blanco, San Luis Potosí, Mexico",direct,22.6295776,-100.5198234
DU 13,Ulrich Dosedal,astrophytum myriostigma,"Nunez, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Nunez, San Luis Potosí, Mexico",direct,22.6885734,-100.505316
DU 14,Ulrich Dosedal,astrophytum myriostigma,"Jaumave, Tamaulipas, Mexico",NA,NA,NA,bcss,"Jaumave, Tamaulipas, Mexico",direct,23.4719813,-99.4263583
DU 7a,Ulrich Dosedal,astrophytum myriostigma,"South of Las Tablas on the hills East of the road, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Las Tablas, San Luis Potosí, Mexico",direction_only,22.2571034,-99.8613755
GL 652,Gary Loos,astrophytum myriostigma v. strongylogonum,"Las Tablas, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Las Tablas, San Luis Potosí, Mexico",direct,22.2571034,-99.8613755
GL&DONEY 566,"Charles (Charlie) Edward Glass, B. Doney",astrophytum myriostigma v. quadricostatum,Mexico,NA,NA,NA,bcss,Mexico,direct,23.6585116,-102.0077097
GL&DONEY 584,"Charles (Charlie) Edward Glass, B. Doney",astrophytum myriostigma v. potosinum,"Mexico, Mexico",NA,NA,NA,bcss,"Mexico, Mexico",direct,23.6585116,-102.0077097
GL&F 2169,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",astrophytum myriostigma,"along river South of Ciudad Lerdo, Durango, Mexico",NA,NA,NA,bcss,"Ciudad Lerdo, Durango, Mexico",direction_only,25.536641,-103.5252472
GL&F 648,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",astrophytum myriostigma v. potosinum,"0.25 mile South of Presa de Guadalupe off Huizache road, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Presa de Guadalupe, San Luis Potosí, Mexico",offset_adjusted,22.855846713576327,-100.1508953
GL&F 683,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",astrophytum myriostigma v. quadricostatum,"6 miles South-West of Jaumave, Tamaulipas, Mexico",NA,NA,NA,bcss,"Jaumave, Tamaulipas, Mexico",offset_adjusted,23.41091922062332,-99.49288261926526
GL&F 683a,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",astrophytum myriostigma,"6 miles South-West of Jaumave, Tamaulipas, Mexico",NA,NA,NA,bcss,"Jaumave, Tamaulipas, Mexico",offset_adjusted,23.41091922062332,-99.49288261926526
GL&F 873,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",astrophytum myriostigma v. strongylogonum,"near Garcia, Charco Blanco to Guadalcazar, San Luis Potosi, Mexico, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Garcia, Guadalcazar, San Luis Potosí, Mexico",direct,22.636672889488,-100.376292892581
GLASS&GLASS 229,"Charles (Charlie) Edward Glass, Gini Glass",astrophytum myriostigma v. potosina,"Huizache Junction e 26 mi, Hwy 80km 364, San Luis Potosi, Mexico",1963,1963,NA,bcss,"Huizache, San Luis Potosí, Mexico",direct,22.9103315,-100.5110812
GM 148,Grzegorz Matuszewski,astrophytum myriostigma v. tulense,Magdaleno Cedillo,NA,NA,NA,bcss,"Magdaleno Cedillo, San Luis Potosí, Mexico",direct,22.4749863,-99.5955204
GM 150,Grzegorz Matuszewski,astrophytum myriostigma,Ciudad del Maiz,NA,NA,NA,bcss,"Ciudad del Maiz, San Luis Potosí, Mexico",direct,22.4309306,-99.7047331
GM 200,Grzegorz Matuszewski,astrophytum myriostigma v. strongylogonum,Cerritos,1400m,NA,NA,bcss,"Cerritos, San Luis Potosí, Mexico",direct,22.419062,-100.2980541
GM 30A,Grzegorz Matuszewski,astrophytum myriostigma v. strongylogonum,Charco Blanco,1500m,NA,NA,bcss,"Charco Blanco, San Luis Potosí, Mexico",direct,22.6295776,-100.5198234
GM 364,Grzegorz Matuszewski,astrophytum myriostigma v. strongylogonum,Palomas,1100m,NA,NA,bcss,"Palomas, San Luis Potosí, Mexico",direct,22.4837267,-99.8499889
GM 369,Grzegorz Matuszewski,astrophytum myriostigma v. strongylogonum,Nunez,1500m,NA,NA,bcss,"Nunez, San Luis Potosí, Mexico",direct,22.6885734,-100.505316
GOMEZ 807,Carlos Gómez Hinostrosa,astrophytum myriostigma,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
GOMEZ 807,Carlos Gómez Hinostrosa,astrophytum myriostigma,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
GOMEZ-H 807,Carlos Gómez Hinostrosa,astrophytum myriostigma,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
GOMEZ-H 807,Carlos Gómez Hinostrosa,astrophytum myriostigma,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
HT 1017,P. Hallet (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. quadricostatum,"Jaumave, Tamaulipas, Mexico",600m,17/10/1974,together with Mammillaria viereckii,bcss,"Jaumave, Tamaulipas, Mexico",direct,23.4719813,-99.4263583
HT 1024,P. Hallet (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. columnare,"Miquihuana, Tamaulipas, Mexico",1900m,22/11/1974,"together with Neolloydia conoidea, Mammillaria candida",bcss,"Miquihuana, Tamaulipas, Mexico",direct,23.5860223,-99.7934682
HT 1183,P. Hallet (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. nudum,"Sierra de Santa Rita-Jauja, San Luis Potosi, Mexico",1600-1800m,17/10/1978,"together with L1184, L1185",bcss,"Sierra de Santa Rita, San Luis Potosí, Mexico",direct,21.519279517486,-99.05610242716
HT 727,P. Hallet (plants collected by Alfred Bernhard Lau),astrophytum myriostigma,"Las Tablas, San Luis Potosi, Mexico",1400m,2/11/1974,"together with L723, L724, L725, L726",bcss,"Las Tablas, San Luis Potosí, Mexico",direct,22.2571034,-99.8613755
HT 728,P. Hallet (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. strongylogonum,"Villar, San Luis Potosi, Mexico",1500m,13/11/1974,"together with Gymnocactus knuthianus, Mammillaria aureilanata",bcss,"Villar, San Luis Potosí, Mexico",direct,22.5447768,-100.4666913
IDD 101/99,Igor D. Dráb,astrophytum myriostigma,"Valley of Jaumave, km 105 Route 101, Tamaulipas, Mexico",30/04/2003,30/04/2003,"= IDD641; with Gymnocactus viereckii, Mammillaria candida, M. klissingiana, Ferocactus echidne, Echinocactus ingens, Bursera sp.",bcss,"Jaumave, Tamaulipas, Mexico",direct,23.4719813,-99.4263583
IDD 1097,Igor D. Dráb,astrophytum myriostigma,"La Libertad to La Morita, San Luis Potosí, Mexico",24/10/2007,24/10/2007,= IDD142/03,bcss,"La Libertad to La Morita, San Luis Potosí, Mexico",direct,22.123373655,-100.908196679
IDD 1107,Igor D. Dráb,astrophytum myriostigma,"El Sabino, San Luis Potosí, Mexico",25/10/2007,25/10/2007,= IDD153/03,bcss,"El Sabino, San Luis Potosí, Mexico",direct,23.3974043,-101.7137763
IDD 111/99,Igor D. Dráb,astrophytum myriostigma,"Km 96 Route 80, Tula towards Ciudad del Maiz, San Luis Potosí, Mexico",30/04/2003,30/04/2003,= IDD651,bcss,"Tula to Ciudad del Maiz, San Luis Potosí, Mexico",direct,22.7326737,-99.9724528
IDD 142/03,Igor D. Dráb,astrophytum myriostigma,"La Libertad to La Morita, San Luis Potosí, Mexico",24/10/2007,24/10/2007,= IDD1097,bcss,"La Libertad to La Morita, San Luis Potosí, Mexico",direct,22.123373655,-100.908196679
IDD 153/03,Igor D. Dráb,astrophytum myriostigma,"El Sabino, San Luis Potosí, Mexico",25/10/2007,25/10/2007,= IDD1107,bcss,"El Sabino, San Luis Potosí, Mexico",direct,23.3974043,-101.7137763
IDD 54,Igor D. Dráb,astrophytum myriostigma,"Branch to Matias Garcia behind Jaumave, Tamaulipas, Mexico",25/04/1997,25/04/1997,= CSD49; also plants with 6 ribs + G89,bcss,"Matias Garcia, Jaumave, Tamaulipas, Mexico",direct,23.4035607,-99.4345938
IDD 641,Igor D. Dráb,astrophytum myriostigma,"Valley of Jaumave, km 105 Route 101, Tamaulipas, Mexico",30/04/2003,30/04/2003,"= IDD101/99; with Gymnocactus viereckii, Mammillaria candida, M. klissingiana, Ferocactus echidne, Echinocactus ingens, Bursera sp.",bcss,"Jaumave, Tamaulipas, Mexico",direct,23.4719813,-99.4263583
IDD 651,Igor D. Dráb,astrophytum myriostigma,"Km 96 Route 80, Tula towards Ciudad del Maiz, San Luis Potosí, Mexico",30/04/2003,30/04/2003,= IDD111/99,bcss,"Tula to Ciudad del Maiz, San Luis Potosí, Mexico",direct,22.7326737,-99.9724528
IDD 80,Igor D. Dráb,astrophytum myriostigma,"Towards to Buenavista Rancho, San Luis Potosí, Mexico",28/04/1997,28/04/1997,= CSD75,bcss,"Buenavista, San Luis Potosí, Mexico",direct,22.5968848,-100.1458716
IDD 90,Igor D. Dráb,astrophytum myriostigma v. strongylogonum,"Charco Blanco, San Luis Potosí, Mexico",29/04/1997,29/04/1997,= CSD85; some plants flat like asterias,bcss,"Charco Blanco, San Luis Potosí, Mexico",direct,22.6295776,-100.5198234
KPP 1847,Karel Pavel Pavlíček,astrophytum myriostigma,"San Antonio, Tamaulipas, Mexico",01/10/2014,01/10/2014,NA,bcss,"San Antonio, Tamaulipas, Mexico",direct,23.5842448,-99.3438476
KPP 1848,Karel Pavel Pavlíček,astrophytum myriostigma,"San Antonio, Tamaulipas, Mexico",01/10/2014,01/10/2014,NA,bcss,"San Antonio, Tamaulipas, Mexico",direct,23.5842448,-99.3438476
KPP 1849,Karel Pavel Pavlíček,astrophytum myriostigma,"Ciudad Maiz-Alvaro Obregon, San Luis Potosi, Mexico",01/10/2014,01/10/2014,NA,bcss,"Ciudad del Maiz to Alvaro Obregon, San Luis Potosí, Mexico",direct,23.097965833,-101.033592222
KSS 110,"Libor Kunte, Rudolf Slaba, Simerda",astrophytum myriostigma,"San Antonio, Tamaulipas, Mexico",NA,NA,NA,bcss,"San Antonio, Tamaulipas, Mexico",direct,23.5842448,-99.3438476
KSS 160,"Libor Kunte, Rudolf Slaba, Simerda",astrophytum myriostigma v. strongylogonum,"El Oro, San Luis Potosi, Mexico",NA,NA,NA,bcss,"El Oro, San Luis Potosí, Mexico",direct,22.6504004,-100.3478622
L 1017,Alfred Bernhard Lau,astrophytum myriostigma v. quadricostatum,"Jaumave, Tamaulipas, Mexico",600m,17/10/1974,together with Mammillaria viereckii,bcss,"Jaumave, Tamaulipas, Mexico",direct,23.4719813,-99.4263583
L 1024,Alfred Bernhard Lau,astrophytum myriostigma v. columnare,"Miquihuana, Tamaulipas, Mexico",1900m,22/11/1974,"together with Neolloydia conoidea, Mammillaria candida",bcss,"Miquihuana, Tamaulipas, Mexico",direct,23.5860223,-99.7934682
L 1183,Alfred Bernhard Lau,astrophytum myriostigma v. nudum,"Sierra de Santa Rita-Jauja, San Luis Potosi, Mexico",1600-1800m,17/10/1978,"together with L1184, L1185",bcss,"Sierra de Santa Rita, San Luis Potosí, Mexico",direct,21.519279517486,-99.05610242716
L 727,Alfred Bernhard Lau,astrophytum myriostigma,"Las Tablas, San Luis Potosi, Mexico",1400m,2/11/1974,"together with L723, L724, L725, L726",bcss,"Las Tablas, San Luis Potosí, Mexico",direct,22.2571034,-99.8613755
L 728,Alfred Bernhard Lau,astrophytum myriostigma v. strongylogonum,"Villar, San Luis Potosi, Mexico",1500m,13/11/1974,"together with Gymnocactus knuthianus, Mammillaria aureilanata",bcss,"Villar, San Luis Potosí, Mexico",direct,22.5447768,-100.4666913
LAU 1017,Alfred Bernhard Lau,astrophytum myriostigma v. quadricostatum,"Jaumave, Tamaulipas, Mexico",600m,17/10/1974,together with Mammillaria viereckii,bcss,"Jaumave, Tamaulipas, Mexico",direct,23.4719813,-99.4263583
