field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BB 2252.02,Brian Francis Bates,eulychnia taltalensis,"East of Taltal, 02 Antofagasta, Chile",315m,14/11/2018,same locality as BJB18-25,bcss,"Taltal, Antofagasta, Chile",direct,-25.4078293,-70.4858424
BB 2253.02,Brian Francis Bates,eulychnia taltalensis,"Paposo, 02 Antofagasta, Chile",294m,18/11/2018,same locality as ADB2.44,bcss,"Paposo, Antofagasta, Chile",direct,-25.0094441,-70.4653417
GC 296.02,Graham Charles,eulychnia taltalensis,North of Paposo,NA,NA,NA,bcss,"Paposo, Antofagasta, Chile",direction_only,-25.0094441,-70.4653417
GC 298.03,Graham Charles,eulychnia taltalensis,San Ramon Valley,NA,NA,NA,bcss,"Quebrada San Ramon, Antofagasta, Chile",direct,-25.3814545,-70.4531054
GC 299.02,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,"Paposo, Antofagasta, Chile",direct,-25.0094441,-70.4653417
GC 300.03,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,"Paposo, Antofagasta, Chile",direct,-25.0094441,-70.4653417
GC 301.03,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,"Paposo, Antofagasta, Chile",direct,-25.0094441,-70.4653417
GC 305.02,Graham Charles,eulychnia taltalensis,Breas,NA,NA,NA,bcss,"Las Breas, Antofagasta, Chile",direct,-25.5644609,-70.3757238
GC 730.03,Graham Charles,eulychnia taltalensis,North of Taltal,NA,NA,NA,bcss,"Taltal, Antofagasta, Chile",direction_only,-25.4078293,-70.4858424
GC 733.02,Graham Charles,eulychnia taltalensis,North of Paposo,NA,NA,NA,bcss,"Paposo, Antofagasta, Chile",direction_only,-25.0094441,-70.4653417
GC 734.02,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA,bcss,"Paposo, Antofagasta, Chile",direct,-25.0094441,-70.4653417
GC 737.05,Graham Charles,eulychnia taltalensis,Botija Valley,NA,NA,NA,bcss,"Quebrada Botija, Antofagasta, Chile",direct,-24.497234,-70.5193899
JN 1319,Jan Novák,eulychnia taltalensis,"Ruta 1 Paposo to Blanco Encalada, 02 Antofagasta, Chile",48m,NA,NA,bcss,"Ruta 1, Paposo to Blanco Encalada, Antofagasta, Chile",direct,-23.762068831329,-70.466854254092
JN 1701,Jan Novák,eulychnia taltalensis,"Paposo to Blanco Encalada, 02 Antofagasta, Chile",NA,NA,NA,bcss,"Ruta 1, Paposo to Blanco Encalada, Antofagasta, Chile",direct,-23.762068831329,-70.466854254092
JN 854,Jan Novák,eulychnia taltalensis,"above Playa Sara, Antofagasta, Chile",49m,Feb-12,NA,bcss,"Playa Sara, Antofagasta, Chile",direct,-25.34203,-69.86705
JN 856,Jan Novák,eulychnia taltalensis,"Paposo National Reserve, Antofagasta, Chile",600m,Feb-12,NA,bcss,"Reserva Nacional Paposo, Antofagasta, Chile",direct,-23.580389497864,-70.384389828375
JN 862,Jan Novák,eulychnia taltalensis,"Santunario Lidia Escobar Negra, Antofagasta, Chile",411m,Feb-12,NA,bcss,"Santuario Lidia Escobar Negra, Antofagasta, Chile",direct,-23.6266015,-70.390128
