field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BB 102.01,Brian Francis Bates,melocactus salvadorensis,"Jequié Municipality, Bahia, Brazil",241m,24/05/1999,NA,bcss,"Jequié, Bahia, Brazil",direct,-13.8604033,-40.0719627
BB 105.03,Brian Francis Bates,melocactus salvadorensis,"Porto Alegre, Bahia, Brazil",280m,24/05/1999,NA,bcss,"Porto Alegre, Maracás, Bahia, Brazil",direct,-13.842062,-40.6208841
BB 96.02,Brian Francis Bates,melocactus salvadorensis,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA,bcss,"Rio de Contas, Bahia, Brazil",direct,-13.5803333,-41.8112152
BB 96.02,Brian Francis Bates,melocactus salvadorensis,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA,bcss,"Rio de Contas, Bahia, Brazil",direct,-13.5803333,-41.8112152
CS 365.1_125,Chris Sherrah,melocactus salvadorensis,"Jequie, Bahia, Brasil",21/11/2009,21/11/2009,NA,bcss,"Jequié, Bahia, Brazil",direct,-13.8604033,-40.0719627
CS 366.13,Chris Sherrah,melocactus salvadorensis,"Espinho, Bahia, Brasil",260m,22/11/2009,NA,bcss,"Espinho, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 367.5,Chris Sherrah,melocactus salvadorensis,"Espinho 2, Bahia, Brasil",290m,22/11/2009,BB105 location,bcss,"Espinho, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 368.3,Chris Sherrah,melocactus salvadorensis,"Espinho 3, Bahia, Brasil",343m,22/11/2009,NA,bcss,"Espinho, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 371.4_135,Chris Sherrah,melocactus salvadorensis,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,BB096 location,bcss,"Rio de Contas, Bahia, Brazil",direct,-13.5803333,-41.8112152
GC 1022.02,Graham Charles,melocactus salvadorensis,Sussuarana,NA,NA,NA,bcss,"Sussuarana, Tanhaçu, Bahia, Brazil",direct,-14.1598189,-41.2063284
GC 1048.05,Graham Charles,melocactus salvadorensis,West of Jequié,NA,NA,NA,bcss,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
GC 483.05,Graham Charles,melocactus salvadorensis,West of Jequié,NA,NA,NA,bcss,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
GC 486.05,Graham Charles,melocactus salvadorensis,Porto Alegre,NA,NA,NA,bcss,"Porto Alegre, Maracás, Bahia, Brazil",direct,-13.842062,-40.6208841
GC 686.02,Graham Charles,melocactus salvadorensis,Sussuarana,NA,NA,NA,bcss,"Sussuarana, Tanhaçu, Bahia, Brazil",direct,-14.1598189,-41.2063284
GD 100-1,Gérard Delanoy,melocactus salvadorensis,"East of Sussuarana, Bahia, Brazil",NA,NA,NA,bcss,"Sussuarana, Bahia, Brazil",direction_only,-14.1598189,-41.2063284
GD 101-1,Gérard Delanoy,melocactus salvadorensis,"East of Sussuarana, 1 km after GD100, Bahia, Brazil",NA,NA,NA,bcss,"Sussuarana, Bahia, Brazil",direction_only,-14.1598189,-41.2063284
GD 105-2,Gérard Delanoy,melocactus salvadorensis,"South-West of Jequié, Bahia, Brazil",NA,NA,NA,bcss,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
GD 106-2,Gérard Delanoy,melocactus salvadorensis,"John's Quarry, South-West of Jequié, Rio",NA,NA,NA,bcss,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
GJA 7.09,Gérard Ardisson,melocactus salvadorensis,"Itiîra, Bahia, Brazil",May-07,May-07,NA,bcss,"Itiúba, Bahia, Brazil",direct,-10.6917496,-39.8532886
HU 301,"Leopoldo Horst,, later, Kurt-Ingo Horst",melocactus salvadorensis,"Bananeiras, Bahia, Brazil",1971,1971,NA,bcss,"Bananeiras, Bahia, Brazil",direct,-10.608216,-40.31353
HU 535,"Leopoldo Horst,, later, Kurt-Ingo Horst",melocactus salvadorensis,"2 km North-West of Jacaraci, Bahia, Brazil",NA,NA,NA,bcss,"Jacaraci, Bahia, Brazil",offset_adjusted,-14.833034497842862,-42.446052664736456
HU 576,"Leopoldo Horst,, later, Kurt-Ingo Horst",melocactus salvadorensis,"Licinio de Almeida, Bahia, Brazil",NA,NA,NA,bcss,"Licínio de Almeida, Bahia, Brazil",direct,-14.6835152,-42.5064545
NPT 1523,Nigel Paul Taylor,melocactus salvadorensis,"Brumado w 36km, BR 030 towards Caetite, Bahia, Brazil",660m,2/2/1991,NA,bcss,"BR-030, Bahia, Brazil",direct,-14.3629822,-40.3421902
NPT 1542,Nigel Paul Taylor,melocactus salvadorensis,"BR 030 25km along towards Sussuarana, Bahia, Brazil",400m,3/2/1991,NA,bcss,"BR-030, Bahia, Brazil",direct,-14.3629822,-40.3421902
NPT 1545,Nigel Paul Taylor,melocactus salvadorensis,"BR 030 54km along towards Sussuarana, Bahia, Brazil",400m,3/2/1991,NA,bcss,"BR-030, Bahia, Brazil",direct,-14.3629822,-40.3421902
NPT 1549,Nigel Paul Taylor,melocactus salvadorensis,"Contendas do Sincorá 34km towards Maracás, Bahia, Brazil",380m,4/2/1991,NA,bcss,"Contendas do Sincorá, Bahia, Brazil",direct,-13.7612283,-41.042131500000004
NPT 1553,Nigel Paul Taylor,melocactus salvadorensis,"Porto Alegre e 6-7km, Bahia, Brazil",300m,4/2/1991,NA,bcss,"Porto Alegre, Bahia, Brazil",offset_adjusted,-13.842054652349049,-40.56067979805238
NPT 1580,Nigel Paul Taylor,melocactus salvadorensis,"Iañu w 5.5km, Bahia, Brazil",300m,7/2/1991,NA,bcss,"Iaçu, Bahia, Brazil",offset_adjusted,-12.767202562192978,-40.26135930527715
NPT 1609,Nigel Paul Taylor,melocactus salvadorensis,"Baixa Grande e 42.5km, BA 052, Bahia, Brazil",310m,9/2/1991,NA,bcss,"Baixa Grande, Bahia, Brazil",offset_adjusted,-11.962823983920154,-39.77505685213918
NPT 1611,Nigel Paul Taylor,melocactus salvadorensis,"Ipirá e 24km, BA 052, Bahia, Brazil",300m,9/2/1991,NA,bcss,"Ipirá, Bahia, Brazil",offset_adjusted,-12.157746116864384,-39.52087131491938
PM 126,Ken Preston-Mafham,melocactus salvadorensis,"6km South of Milagres, Brazil",NA,NA,NA,bcss,"Milagres, Bahia, Brazil",offset_adjusted,-12.918594296355122,-39.861092
PM 129,Ken Preston-Mafham,melocactus salvadorensis,"Jequie, Brazil",NA,NA,NA,bcss,"Jequié, Bahia, Brazil",direct,-13.8604033,-40.0719627
BB 102.01,Brian Francis Bates,Melocactus salvadorensis,"Brazil : Bahia (Mun. Jequié, Mun. Jequié  241m)",NA,1999/05/24,NA,clcactus,"Jequié, Bahia, Brazil",direct,-13.8604033,-40.0719627
