field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
A&M 1392,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of Januaria, Januaria, Minas Gerais, Brazil",25/06/2016,25/06/2016,NA,bcss,"Januaria, Januaria, Minas Gerais, Brazil",direction_only,-15.4875,-44.361111
A&M 1398,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Between Manga and Iuiú, Bahia, Brazil",29/06/2016,29/06/2016,NA,bcss,"Between Manga and Iuiú, Bahia, Brazil",direct,-11.46667,-44
A&M 1410,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Palmas de Monte Alto, Bahia, Brazil",01/07/2016,01/07/2016,NA,bcss,"Palmas de Monte Alto, Bahia, Brazil",direct,-14.2636093,-43.1649976
A&M 1415,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Palmas de Monte Alto, Bahia, Brazil",02/07/2016,02/07/2016,NA,bcss,"Palmas de Monte Alto, Bahia, Brazil",direct,-14.2636093,-43.1649976
A&M 1455,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of the Santa Izabel cemetery, Mucugê, Bahia, Brazil",18/07/2016,18/07/2016,NA,bcss,"the Santa Izabel cemetery, Mucugê, Bahia, Brazil",direction_only,-13.003989564897,-41.367548380877
A&M 1457,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of the Santa Izabel cemetery, Mucugê, Bahia, Brazil",18/07/2016,18/07/2016,NA,bcss,"the Santa Izabel cemetery, Mucugê, Bahia, Brazil",direction_only,-13.003989564897,-41.367548380877
A&M 348,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Serra Mineira, Bocaiúva, Minas Gerais, Brazil",05-May-09,05-May-09,NA,bcss,"Serra Mineira, Bocaiúva, Minas Gerais, Brazil",direct,-17.1791366,-43.5696619
AH 323,Andreas Hofacker,pilosocereus pachycladus,"East of Pedra Azul, Minas Gerais, Brazil",1992,1992,= P. glaucescens,bcss,"Pedra Azul, Minas Gerais, Brazil",direction_only,-16.0058567,-41.2793731
AH 339,Andreas Hofacker,pilosocereus pachycladus,"West of Morro do Chapéu, Bahia, Brazil",1992,1992,NA,bcss,"Morro do Chapéu, Bahia, Brazil",direction_only,-11.5500293,-41.1570248
BB 109.01,Brian Francis Bates,pilosocereus pachycladus,"Araçuaí, Minas Gerais, Brazil",300m,27/05/1999,NA,bcss,"Araçuaí, Minas Gerais, Brazil",direct,-16.8484451,-42.0661868
BB 128.03,Brian Francis Bates,pilosocereus pachycladus,"Sopa, Minas Gerais, Brazil",1315m,05/06/1999,NA,bcss,"Sopa, Minas Gerais, Brazil",direct,-18.1815788,-43.6948887
BB 129.02,Brian Francis Bates,pilosocereus pachycladus,"Porto Agraria, Minas Gerais, Brazil",07/06/1999,07/06/1999,NA,bcss,"Porto Agraria, Minas Gerais, Brazil",direct,-14.3714816,-43.8182843
BB 134.02,Brian Francis Bates,pilosocereus pachycladus,"West of Ipirá, Bahia, Brazil",15/06/1999,15/06/1999,NA,bcss,"Ipirá, Bahia, Brazil",direction_only,-12.1578337,-39.7416605
BB 77.03,Brian Francis Bates,pilosocereus pachycladus,"Morro do Chapéu, Bahia, Brazil",970m,15/05/1999,NA,bcss,"Morro do Chapéu, Bahia, Brazil",direct,-11.5500293,-41.1570248
BB 78.04,Brian Francis Bates,pilosocereus pachycladus,"Morro do Chapéu, Bahia, Brazil",15/05/1999,15/05/1999,NA,bcss,"Morro do Chapéu, Bahia, Brazil",direct,-11.5500293,-41.1570248
BB 85.06,Brian Francis Bates,pilosocereus pachycladus,"West of Morro do Chapéu towards America Dourada, Bahia, Brazil",790m,16/05/1999,NA,bcss,"Morro do Chapéu towards America Dourada, Bahia, Brazil",direction_only,-11.444069976473,-41.425120299547
BB 86.03,Brian Francis Bates,pilosocereus pachycladus,"near Jacarezinho, Bahia, Brazil",845m,16/05/1999,NA,bcss,"near Jacarezinho, Bahia, Brazil",direct,-23.1619741,-49.9695166
BB 89.01,Brian Francis Bates,pilosocereus pachycladus,"Seabra, Bahia, Brazil",1300m,19/05/1999,NA,bcss,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
BB 90.02,Brian Francis Bates,pilosocereus pachycladus,"West of Seabra, Bahia, Brazil",19/05/1999,19/05/1999,NA,bcss,"Seabra, Bahia, Brazil",direction_only,-12.4172071,-41.772051
BB 91.02,Brian Francis Bates,pilosocereus pachycladus,"West of Seabra, Bahia, Brazil",900m,19/05/1999,NA,bcss,"Seabra, Bahia, Brazil",direction_only,-12.4172071,-41.772051
BB 92.01,Brian Francis Bates,pilosocereus pachycladus,"East of Seabra, Bahia, Brazil",780m,19/05/1999,NA,bcss,"Seabra, Bahia, Brazil",direction_only,-12.4172071,-41.772051
BB 94.02,Brian Francis Bates,pilosocereus pachycladus,"Mucugê, Bahia, Brazil",1075m,20/05/1999,NA,bcss,"Mucugê, Bahia, Brazil",direct,-13.0053,-41.370271
BB 96.05,Brian Francis Bates,pilosocereus pachycladus,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA,bcss,"Rio de Contas near waterfall, Bahia, Brazil",direct,-13.5778179,-41.8115466
BB 96.05,Brian Francis Bates,pilosocereus pachycladus,"Rio de Contas near waterfall, Bahia, Brazil",925m,21/05/1999,NA,bcss,"Rio de Contas near waterfall, Bahia, Brazil",direct,-13.5778179,-41.8115466
BB 99.07,Brian Francis Bates,pilosocereus pachycladus,"Brumado, Bahia, Brazil",650m,23/05/1999,NA,bcss,"Brumado, Bahia, Brazil",direct,-14.2025099,-41.6701307
CS 153.3,Chris Sherrah,pilosocereus pachycladus,"Sobradinho 1, Bahia, Brasil",389m,20/10/2007,NA,bcss,"Sobradinho 1, Bahia, Brasil",direct,-9.469775,-40.7957473
CS 155.1_71,Chris Sherrah,pilosocereus pachycladus,"South of Massaroca Hwy 407, Bahia, Brasil, Bahia, Brasil",592m,21/10/2007,NA,bcss,"Massaroca Hwy 407, Bahia, Brasil, Bahia, Brasil",direction_only,-9.8764579,-40.2884766
