field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
NA,NA,NA,"Padilla to Monteagudo about. 1/2 way, Chuquisaca, Bolivia",1270m,08/10/2009,same locality as CS314,bcss,"Padilla to Monteagudo about. 1/2 way, Chuquisaca, Bolivia",direct,-19.8086416,-63.9580185
NA,NA,NA,"about 110km West of Puerto Casado, Alto Paraguay, Paraguay",105m,19/08/2013,same locality as CS676,bcss,"about 110km West of Puerto Casado, Alto Paraguay, Paraguay",direct,-21.812316438743,-59.085779587846
NA,NA,NA,"Tikal, El Peten, Guatemala",17/12/2022,17/12/2022,NA,bcss,"Tikal, El Peten, Guatemala",direct,17.2272513,-89.6106826
NA,NA,NA,"Monteagudo, Chuquisaca, Bolivia",1270m,08/10/2009,NA,bcss,"Monteagudo, Chuquisaca, Bolivia",direct,-19.8028386,-63.9551052
NA,NA,NA,"Alijilan 2, Catamarca, Argentina",1112m,14/03/2010,NA,bcss,"Alijilan 2, Catamarca, Argentina",direct,-28.4489591,-65.7882674
NA,NA,NA,"Mbashe River, Tsolorha, Eastern Cape, South Africa",Ems present,Ems present,Ems present,bcss,"Mbashe River, Tsolorha, Eastern Cape, South Africa",direct,-32.24845,28.9016
NA,NA,NA,"Hluhluwe Mountains, KwaZulu Natal, South Africa",19/07/1971,19/07/1971,NA,bcss,"Hluhluwe Mountains, KwaZulu Natal, South Africa",direct,-28.0208811,32.2723894
NA,NA,NA,"Salvador, Bahia, Brazil",May-07,May-07,NA,bcss,"Salvador, Bahia, Brazil",direct,-12.9822499,-38.4812772
NA,NA,NA,"Hluhluwe Mountains, KwaZulu Natal, South Africa",19/07/1971,19/07/1971,NA,bcss,"Hluhluwe Mountains, KwaZulu Natal, South Africa",direct,-28.0208811,32.2723894
NA,NA,NA,"La Soledad, upper end Valle Nacional, Oaxaca, Mexico",29/12/1987,29/12/1987,NA,bcss,"La Soledad, upper end Valle Nacional, Oaxaca, Mexico",direct,17.77579,-96.30174
NA,NA,NA,"Loreto, Rio Grande do Sul, Brazil",NA,NA,NA,bcss,"Loreto, Rio Grande do Sul, Brazil",direct,-29.7520432,-54.9513224
NA,NA,NA,"Campo Quijano, Private Camping, Salta, Argentina",1513m,NA,NA,bcss,"Campo Quijano, Private Camping, Salta, Argentina",direct,-24.785052179654,-65.459667467185
NA,NA,NA,Oribi Gorge,396m,04-Feb-02,NA,bcss,Oribi Gorge,direct,-30.7317979,30.2734816
NA,NA,NA,"Near Sucua, Ecuador",1975,1975,"Cuttings of a plant from the University of Heidelberg, collected as Werner Rauh37996",bcss,"Near Sucua, Ecuador",direct,-2.485955926691,-78.211486073426
NA,NA,NA,"Dique la Cienaga, North of Salta, Argentina",1250m,NA,NA,bcss,"Dique la Cienaga, North of Salta, Argentina",direct,-21.9622312,-66.2627037
NA,NA,NA,"Mount Ibity, Madagascar",August 2003,August 2003,NA,bcss,"Mount Ibity, Madagascar",direct,-20.11667,47.01667
NA,NA,NA,"Zamora to Loja km 8, Zamora-Chinchipe, Ecuador",1200m,NA,NA,bcss,"Zamora to Loja km 8, Zamora-Chinchipe, Ecuador",direct,-4.012653177988,-78.982838358651
