field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
A&M 1392,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of Januaria, Januaria, Minas Gerais, Brazil",25/06/2016,25/06/2016,NA,bcss,"Januaria, Minas Gerais, Brazil",direct,-15.317185,-45.2045505
A&M 1398,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Between Manga and Iuiú, Bahia, Brazil",29/06/2016,29/06/2016,NA,bcss,"Manga, Bahia, Brazil",direct,-13.2129158,-44.594729
A&M 1410,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Palmas de Monte Alto, Bahia, Brazil",01/07/2016,01/07/2016,NA,bcss,"Palmas de Monte Alto, Bahia, Brazil",direct,-14.2636093,-43.1649976
A&M 1415,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Palmas de Monte Alto, Bahia, Brazil",02/07/2016,02/07/2016,NA,bcss,"Palmas de Monte Alto, Bahia, Brazil",direct,-14.2636093,-43.1649976
A&M 1455,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of the Santa Izabel cemetery, Mucugê, Bahia, Brazil",18/07/2016,18/07/2016,NA,bcss,"Santa Izabel cemetery, Mucugê, Bahia, Brazil",direct,-13.003989564897,-41.367548380877
A&M 1457,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"West of the Santa Izabel cemetery, Mucugê, Bahia, Brazil",18/07/2016,18/07/2016,NA,bcss,"Santa Izabel cemetery, Mucugê, Bahia, Brazil",direct,-13.003989564897,-41.367548380877
A&M 348,"Giovanna Anceschi, Alberto Magli",pilosocereus pachycladus,"Serra Mineira, Bocaiúva, Minas Gerais, Brazil",05-May-09,05-May-09,NA,bcss,"Serra Mineira, Bocaiúva, Minas Gerais, Brazil",direct,-17.1791366,-43.5696619
AH 323,Andreas Hofacker,pilosocereus pachycladus,"East of Pedra Azul, Minas Gerais, Brazil",1992,1992,= P. glaucescens,bcss,"Pedra Azul, Minas Gerais, Brazil",direct,-16.0058567,-41.2793731
AH 339,Andreas Hofacker,pilosocereus pachycladus,"West of Morro do Chapéu, Bahia, Brazil",1992,1992,NA,bcss,"Morro do Chapéu, Bahia, Brazil",direct,-11.5500293,-41.1570248
BB 109.01,Brian Francis Bates,pilosocereus pachycladus,"Araçuaí, Minas Gerais, Brazil",300m,27/05/1999,NA,bcss,"Araçuaí, Minas Gerais, Brazil",direct,-16.8484451,-42.0661868
BB 128.03,Brian Francis Bates,pilosocereus pachycladus,"Sopa, Minas Gerais, Brazil",1315m,05/06/1999,NA,bcss,"Sopa, Diamantina, Minas Gerais, Brazil",direct,-18.1815788,-43.6948887
BB 129.02,Brian Francis Bates,pilosocereus pachycladus,"Porto Agraria, Minas Gerais, Brazil",07/06/1999,07/06/1999,NA,bcss,"Porto Agraria, Minas Gerais, Brazil",direct,-14.3714816,-43.8182843
BB 134.02,Brian Francis Bates,pilosocereus pachycladus,"West of Ipirá, Bahia, Brazil",15/06/1999,15/06/1999,NA,bcss,"Ipirá, Bahia, Brazil",direct,-12.1578337,-39.7416605
BB 77.03,Brian Francis Bates,pilosocereus pachycladus,"Morro do Chapéu, Bahia, Brazil",970m,15/05/1999,NA,bcss,"Morro do Chapéu, Bahia, Brazil",direct,-11.5500293,-41.1570248
BB 78.04,Brian Francis Bates,pilosocereus pachycladus,"Morro do Chapéu, Bahia, Brazil",15/05/1999,15/05/1999,NA,bcss,"Morro do Chapéu, Bahia, Brazil",direct,-11.5500293,-41.1570248
BB 85.06,Brian Francis Bates,pilosocereus pachycladus,"West of Morro do Chapéu towards America Dourada, Bahia, Brazil",790m,16/05/1999,NA,bcss,"America Dourada, Bahia, Brazil",direct,-11.3998963,-41.5247219
